"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14499-12362","C","DeMarcus","Cousins","45.8","34","11100","IND@SAC","SAC","IND","","","",""
"14499-15755","PF","Anthony","Davis","43.6","37","10300","MIL@NO","NO","MIL","","","",""
"14499-9488","SF","LeBron","James","43.6","40","9600","CHI@CLE","CLE","CHI","","","",""
"14499-15557","C","Andre","Drummond","41.9","43","9000","DET@DEN","DET","DEN","","","",""
"14499-9729","PF","Paul","Millsap","38.3","44","8900","ATL@PHO","ATL","PHO","","","",""
"14499-14528","SG","Jimmy","Butler","38.1","42","8900","CHI@CLE","CHI","CLE","","","",""
"14499-12341","SF","Paul","George","38.8","43","8800","IND@SAC","IND","SAC","","","",""
"14499-20848","PG","Damian","Lillard","39.2","38","8700","LAL@POR","POR","LAL","","","",""
"14499-9570","PF","Pau","Gasol","37.3","40","8500","CHI@CLE","CHI","CLE","","","",""
"14499-9455","PG","Rajon","Rondo","36.9","40","8200","IND@SAC","SAC","IND","","","",""
"14499-9581","C","Marc","Gasol","33.2","44","8200","MEM@MIN","MEM","MIN","GTD","Knee","",""
"14499-19067","SG","C.J.","McCollum","32.1","43","7700","LAL@POR","POR","LAL","","","",""
"14499-12337","C","Greg","Monroe","33.3","43","7700","MIL@NO","MIL","NO","","","",""
"14499-58462","C","Karl-Anthony","Towns","32.3","44","7700","MEM@MIN","MIN","MEM","","","",""
"14499-40199","SG","Giannis","Antetokounmpo","30.3","43","7600","MIL@NO","MIL","NO","","","",""
"14499-9453","C","Al","Horford","31.5","44","7500","ATL@PHO","ATL","PHO","","","",""
"14499-9577","SF","Rudy","Gay","30.8","39","7500","IND@SAC","SAC","IND","O","Heel","",""
"14499-16261","SF","Khris","Middleton","28.6","45","7400","MIL@NO","MIL","NO","","","",""
"14499-9692","PG","Tyreke","Evans","32.8","23","7300","MIL@NO","NO","MIL","","","",""
"14499-9874","PF","Kevin","Love","33.2","41","7200","CHI@CLE","CLE","CHI","","","",""
"14499-14523","PG","Reggie","Jackson","32.5","43","6900","DET@DEN","DET","DEN","","","",""
"14499-49116","SF","Andrew","Wiggins","28.8","43","6900","MEM@MIN","MIN","MEM","","","",""
"14499-14498","PG","Kyrie","Irving","25.2","15","6900","CHI@CLE","CLE","CHI","","","",""
"14499-9637","SF","Danilo","Gallinari","30.5","37","6900","DET@DEN","DEN","DET","","","",""
"14499-9575","PG","Mike","Conley","28.9","38","6600","MEM@MIN","MEM","MIN","","","",""
"14499-16201","PG","Michael","Carter-Williams","27.9","40","6500","MIL@NO","MIL","NO","","","",""
"14499-14506","PG","Brandon","Knight","31.6","42","6500","ATL@PHO","PHO","ATL","O","Hip","",""
"14499-14496","PG","Ricky","Rubio","29.6","38","6500","MEM@MIN","MIN","MEM","","","",""
"14499-14521","PF","Kenneth","Faried","26.5","37","6400","DET@DEN","DEN","DET","","","",""
"14499-9663","PG","Jrue","Holiday","24.8","36","6400","MIL@NO","NO","MIL","","","",""
"14499-17333","SG","Will","Barton","27.7","43","6300","DET@DEN","DEN","DET","","","",""
"14499-9526","SG","Monta","Ellis","26.4","43","6300","IND@SAC","IND","SAC","","","",""
"14499-9475","PG","Derrick","Rose","25.5","36","6100","CHI@CLE","CHI","CLE","","","",""
"14499-9566","SG","Kobe","Bryant","26.1","37","6100","LAL@POR","LAL","POR","","","",""
"14499-9579","PF","Zach","Randolph","26.1","39","6100","MEM@MIN","MEM","MIN","","","",""
"14499-15636","SG","Kentavious","Caldwell-Pope","24.3","43","6000","DET@DEN","DET","DEN","","","",""
"14499-20640","PG","Jordan","Clarkson","24.2","43","5800","LAL@POR","LAL","POR","","","",""
"14499-9662","SG","Louis","Williams","23.7","43","5800","LAL@POR","LAL","POR","","","",""
"14499-9703","PG","George","Hill","24","36","5800","IND@SAC","IND","SAC","O","Personal","",""
"14499-9598","PF","Ersan","Ilyasova","21.2","43","5700","DET@DEN","DET","DEN","","","",""
"14499-9960","SF","Omri","Casspi","23.1","37","5500","IND@SAC","SAC","IND","","","",""
"14499-9446","PG","Jeff","Teague","26.4","41","5500","ATL@PHO","ATL","PHO","","","",""
"14499-42669","PF","Julius","Randle","24.9","44","5500","LAL@POR","LAL","POR","","","",""
"14499-9772","PF","Ryan","Anderson","25.8","40","5300","MIL@NO","NO","MIL","","","",""
"14499-15590","C","Mason","Plumlee","23.9","45","5300","LAL@POR","POR","LAL","","","",""
"14499-9583","PG","Mario","Chalmers","20.5","35","5200","MEM@MIN","MEM","MIN","","","",""
"14499-9657","SF","Matt","Barnes","20.2","41","5200","MEM@MIN","MEM","MIN","","","",""
"14499-63124","PG","Emmanuel","Mudiay","23","29","5100","DET@DEN","DEN","DET","","","",""
"14499-58312","PG","D'Angelo","Russell","21.9","43","5100","LAL@POR","LAL","POR","","","",""
"14499-19781","SG","Kent","Bazemore","23.6","39","5100","ATL@PHO","ATL","PHO","","","",""
"14499-42550","PF","Jabari","Parker","20.3","39","5100","MIL@NO","MIL","NO","","","",""
"14499-14512","SF","Marcus","Morris","24","42","5100","DET@DEN","DET","DEN","","","",""
"14499-12342","SF","Al-Farouq","Aminu","22.3","45","5100","LAL@POR","POR","LAL","","","",""
"14499-9652","PG","Jameer","Nelson","19.3","36","5100","DET@DEN","DEN","DET","O","Wrist","",""
"14499-9483","C","Joakim","Noah","22","29","5000","CHI@CLE","CHI","CLE","O","Shoulder","",""
"14499-9556","SG","Eric","Gordon","22.4","41","5000","MIL@NO","NO","MIL","O","Finger","",""
"14499-40201","PG","Dennis","Schroder","21.3","42","5000","ATL@PHO","ATL","PHO","","","",""
"14499-15771","C","Gorgui","Dieng","20.2","44","4800","MEM@MIN","MIN","MEM","","","",""
"14499-9953","C","Ian","Mahinmi","21.6","39","4800","IND@SAC","IND","SAC","O","Ankle","",""
"14499-9481","PF","Taj","Gibson","19.9","42","4800","CHI@CLE","CHI","CLE","","","",""
"14499-9506","SG","J.R.","Smith","19.7","37","4700","CHI@CLE","CLE","CHI","","","",""
"14499-9624","PG","Darren","Collison","21.8","37","4700","IND@SAC","SAC","IND","","","",""
"14499-55062","C","Nikola","Jokic","19","41","4700","DET@DEN","DEN","DET","","","",""
"14499-14522","SF","Nikola","Mirotic","20.9","42","4600","CHI@CLE","CHI","CLE","","","",""
"14499-14511","PF","Markieff","Morris","18.8","28","4600","ATL@PHO","PHO","ATL","O","Shoulder","",""
"14499-14501","PF","Tristan","Thompson","20.9","41","4600","CHI@CLE","CLE","CHI","","","",""
"14499-9648","SF","Jeff","Green","19.7","44","4600","MEM@MIN","MEM","MIN","","","",""
"14499-15501","SG","Allen","Crabbe","17.2","45","4500","LAL@POR","POR","LAL","","","",""
"14499-58460","SG","Devin","Booker","13","38","4500","ATL@PHO","PHO","ATL","","","",""
"14499-9725","SF","C.J.","Miles","20.5","38","4500","IND@SAC","IND","SAC","","","",""
"14499-15814","C","Alex","Len","16","41","4400","ATL@PHO","PHO","ATL","","","",""
"14499-24544","SG","Gary","Harris","18.1","37","4400","DET@DEN","DEN","DET","","","",""
"14499-9458","SG","Tony","Allen","16.2","38","4400","MEM@MIN","MEM","MIN","GTD","Knee","",""
"14499-9473","C","Tyson","Chandler","16.9","35","4400","ATL@PHO","PHO","ATL","","","",""
"14499-23407","SF","P.J.","Tucker","17.3","44","4300","ATL@PHO","PHO","ATL","GTD","Chest","",""
"14499-14527","PG","Norris","Cole","16.4","25","4300","MIL@NO","NO","MIL","","","",""
"14499-9593","PG","Brandon","Jennings","14.1","12","4300","DET@DEN","DET","DEN","","","",""
"14499-9752","C","Jordan","Hill","19.9","39","4200","IND@SAC","IND","SAC","","","",""
"14499-9810","PG","Jerryd","Bayless","20.3","27","4200","MIL@NO","MIL","NO","","","",""
"14499-58253","PF","Myles","Turner","15.7","21","4200","IND@SAC","IND","SAC","","","",""
"14499-12365","PF","Ed","Davis","19","44","4200","LAL@POR","POR","LAL","","","",""
"14499-9514","SG","Rodney","Stuckey","18.3","33","4200","IND@SAC","IND","SAC","O","Foot","",""
"14499-14539","PF","Jon","Leuer","18.6","41","4200","ATL@PHO","PHO","ATL","O","Back","",""
"14499-9547","SF","Mike","Dunleavy","0","0","4200","CHI@CLE","CHI","CLE","O","Back","",""
"14499-9580","PF","Darrell","Arthur","16.3","40","4200","DET@DEN","DEN","DET","","","",""
"14499-20992","PF","Larry","Nance Jr.","14.6","37","4200","LAL@POR","LAL","POR","O","Knee","",""
"14499-9659","PF","Brandon","Bass","15.2","37","4200","LAL@POR","LAL","POR","GTD","Foot","",""
"14499-9647","SF","Thabo","Sefolosha","17.6","38","4200","ATL@PHO","ATL","PHO","","","",""
"14499-20064","PG","Matthew","Dellavedova","18.8","40","4100","CHI@CLE","CLE","CHI","","","",""
"14499-23823","C","Willie","Cauley-Stein","15.5","28","4100","IND@SAC","SAC","IND","","","",""
"14499-23120","SF","T.J.","Warren","18","43","4100","ATL@PHO","PHO","ATL","","","",""
"14499-15669","C","Meyers","Leonard","17","38","4000","LAL@POR","POR","LAL","","","",""
"14499-9491","PF","J.J.","Hickson","16.3","18","4000","DET@DEN","DEN","DET","","","",""
"14499-23178","PF","Mirza","Teletovic","15.5","43","4000","ATL@PHO","PHO","ATL","O","Ankle","",""
"14499-9615","SG","Courtney","Lee","17.2","42","4000","MEM@MIN","MEM","MIN","","","",""
"14499-23717","SF","Shabazz","Muhammad","13.6","44","4000","MEM@MIN","MIN","MEM","","","",""
"14499-9870","SG","Kyle","Korver","17.8","42","3900","ATL@PHO","ATL","PHO","","","",""
"14499-9484","PG","Mo","Williams","18.2","26","3900","CHI@CLE","CLE","CHI","","","",""
"14499-9553","C","Roy","Hibbert","18.5","45","3900","LAL@POR","LAL","POR","","","",""
"14499-9574","SG","O.J.","Mayo","17.9","29","3900","MIL@NO","MIL","NO","GTD","Hamstring","",""
"14499-58350","SF","Stanley","Johnson","15.3","43","3800","DET@DEN","DET","DEN","","","",""
"14499-18828","SG","Joseph","Young","8","18","3800","IND@SAC","IND","SAC","","","",""
"14499-40783","SG","Zach","LaVine","19.8","44","3800","MEM@MIN","MIN","MEM","","","",""
"14499-55057","C","Jusuf","Nurkic","16.4","7","3800","DET@DEN","DEN","DET","","","",""
"14499-15952","PF","John","Henson","16.4","40","3800","MIL@NO","MIL","NO","","","",""
"14499-9715","SG","Marco","Belinelli","16.1","42","3800","IND@SAC","SAC","IND","","","",""
"14499-37931","C","Aron","Baynes","12","42","3700","DET@DEN","DET","DEN","","","",""
"14499-23824","PG","Archie","Goodwin","10.6","24","3700","ATL@PHO","PHO","ATL","","","",""
"14499-15727","SG","Ben","McLemore","12.2","42","3700","IND@SAC","SAC","IND","","","",""
"14499-9935","C","Brandan","Wright","14.1","7","3700","MEM@MIN","MEM","MIN","O","Knee","",""
"14499-14515","SG","Iman","Shumpert","14.8","19","3700","CHI@CLE","CLE","CHI","","","",""
"14499-11104","SF","Alonzo","Gee","10.4","42","3700","MIL@NO","NO","MIL","","","",""
"14499-42156","PF","Bobby","Portis","13.5","22","3700","CHI@CLE","CHI","CLE","","","",""
"14499-12424","C","Timofey","Mozgov","13.3","38","3700","CHI@CLE","CLE","CHI","","","",""
"14499-12423","C","Omer","Asik","10.9","35","3700","MIL@NO","NO","MIL","","","",""
"14499-9723","PG","Ronnie","Price","9.8","34","3700","ATL@PHO","PHO","ATL","O","Foot","",""
"14499-40209","C","Joffrey","Lauvergne","17.1","24","3700","DET@DEN","DEN","DET","","","",""
"14499-9968","SG","Jodie","Meeks","1.7","2","3600","DET@DEN","DET","DEN","O","Foot","",""
"14499-14554","PG","E'Twaun","Moore","8.9","31","3600","CHI@CLE","CHI","CLE","","","",""
"14499-12459","C","Nikola","Pekovic","9","7","3600","MEM@MIN","MIN","MEM","","","",""
"14499-15782","PG","Russ","Smith","3.7","15","3500","MEM@MIN","MEM","MIN","","","",""
"14499-15792","C","Johnny","O'Bryant","8.5","41","3500","MIL@NO","MIL","NO","","","",""
"14499-9785","SF","James","Jones","6","33","3500","CHI@CLE","CLE","CHI","","","",""
"14499-20907","C","Shayne","Whittington","3.1","2","3500","IND@SAC","IND","SAC","","","",""
"14499-9783","C","Joel","Anthony","3.2","12","3500","DET@DEN","DET","DEN","","","",""
"14499-9736","SF","Caron","Butler","5.5","9","3500","IND@SAC","SAC","IND","","","",""
"14499-9737","SG","Nick","Young","11.1","35","3500","LAL@POR","LAL","POR","","","",""
"14499-9734","SF","Mike","Miller","5","31","3500","DET@DEN","DEN","DET","","","",""
"14499-9733","SG","Randy","Foye","12","43","3500","DET@DEN","DEN","DET","","","",""
"14499-9731","C","Kosta","Koufos","17.1","41","3500","IND@SAC","SAC","IND","","","",""
"14499-9751","PG","Toney","Douglas","10.9","21","3500","MIL@NO","NO","MIL","","","",""
"14499-15846","SG","Tim","Hardaway Jr.","7.9","13","3500","ATL@PHO","ATL","PHO","","","",""
"14499-16604","SG","Justin","Holiday","5.2","25","3500","ATL@PHO","ATL","PHO","","","",""
"14499-16348","SG","Darrun","Hilliard","3.7","13","3500","DET@DEN","DET","DEN","","","",""
"14499-15864","PF","Adreian","Payne","6.4","30","3500","MEM@MIN","MIN","MEM","","","",""
"14499-9804","C","Alexis","Ajinca","11.7","32","3500","MIL@NO","NO","MIL","","","",""
"14499-55376","SF","Damjan","Rudez","3.1","17","3500","MEM@MIN","MIN","MEM","","","",""
"14499-16368","SF","Mike","Scott","11.2","38","3500","ATL@PHO","ATL","PHO","","","",""
"14499-16378","SG","Erick","Green","0.9","3","3500","DET@DEN","DEN","DET","","","",""
"14499-16629","SG","Bryce","Jones","0","1","3500","MIL@NO","NO","MIL","","","",""
"14499-17491","SF","James","Ennis","4.3","7","3500","MEM@MIN","MEM","MIN","","","",""
"14499-17517","SG","Tony","Snell","11.6","40","3500","CHI@CLE","CHI","CLE","","","",""
"14499-16188","SF","Anthony","Brown","7.4","20","3500","LAL@POR","LAL","POR","","","",""
"14499-58661","SG","Rashad","Vaughn","4.9","37","3500","MIL@NO","MIL","NO","","","",""
"14499-17520","PF","Cameron","Bairstow","2.8","9","3500","CHI@CLE","CHI","CLE","","","",""
"14499-16178","SF","Maurice","Harkless","11","45","3500","LAL@POR","POR","LAL","","","",""
"14499-16443","PF","Duje","Dukan","0","0","3500","IND@SAC","SAC","IND","O","Leg","",""
"14499-16202","PF","Rakeem","Christmas","0","0","3500","IND@SAC","IND","SAC","","","",""
"14499-58150","PF","Cliff","Alexander","3.2","7","3500","LAL@POR","POR","LAL","","","",""
"14499-9920","PF","Anthony","Tolliver","11.6","42","3500","DET@DEN","DET","DEN","","","",""
"14499-9928","SF","Sonny","Weems","5","22","3500","ATL@PHO","PHO","ATL","","","",""
"14499-9461","PF","Kevin","Garnett","12.2","37","3500","MEM@MIN","MIN","MEM","O","Rest","",""
"14499-9463","C","Kendrick","Perkins","6.1","9","3500","MIL@NO","NO","MIL","","","",""
"14499-9942","SF","Chase","Budinger","10.1","39","3500","IND@SAC","IND","SAC","","","",""
"14499-9940","PF","Dante","Cunningham","10.4","41","3500","MIL@NO","NO","MIL","","","",""
"14499-9951","SG","Gerald","Henderson","10.8","36","3500","LAL@POR","POR","LAL","","","",""
"14499-58081","PG","Tyus","Jones","7.6","9","3500","MEM@MIN","MIN","MEM","","","",""
"14499-15542","PG","Spencer","Dinwiddie","7.7","9","3500","DET@DEN","DET","DEN","","","",""
"14499-18702","C","Robert","Sacre","8.3","14","3500","LAL@POR","LAL","POR","","","",""
"14499-9490","C","Anderson","Varejao","6.8","26","3500","CHI@CLE","CLE","CHI","","","",""
"14499-17332","C","Tarik","Black","9.8","13","3500","LAL@POR","LAL","POR","","","",""
"14499-15520","SG","Sean","Kilpatrick","3.5","4","3500","DET@DEN","DEN","DET","","","",""
"14499-9478","SG","Kirk","Hinrich","8.4","28","3500","CHI@CLE","CHI","CLE","O","Quadriceps","",""
"14499-9534","PG","Aaron","Brooks","13.4","32","3500","CHI@CLE","CHI","CLE","","","",""
"14499-23098","SF","Kostas","Papanikolaou","5.9","26","3500","DET@DEN","DEN","DET","","","",""
"14499-14549","PF","Lavoy","Allen","14.2","42","3500","IND@SAC","IND","SAC","","","",""
"14499-16063","PF","Eric","Moreland","3.8","5","3500","IND@SAC","SAC","IND","O","Foot","",""
"14499-12364","SG","James","Anderson","4","21","3500","IND@SAC","SAC","IND","","","",""
"14499-16059","SG","Jared","Cunningham","5.2","34","3500","CHI@CLE","CLE","CHI","","","",""
"14499-12360","SG","Elliot","Williams","3.6","5","3500","MEM@MIN","MEM","MIN","","","",""
"14499-9518","SF","Tayshaun","Prince","7.9","44","3500","MEM@MIN","MIN","MEM","","","",""
"14499-12368","SF","Nemanja","Bjelica","11.9","38","3500","MEM@MIN","MIN","MEM","","","",""
"14499-17894","PF","Mike","Muscala","7.8","31","3500","ATL@PHO","ATL","PHO","","","",""
"14499-14533","PG","Shelvin","Mack","8.6","18","3500","ATL@PHO","ATL","PHO","","","",""
"14499-9563","C","Chris","Kaman","5.8","5","3500","LAL@POR","POR","LAL","","","",""
