"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14716-8718","LW","Alexander","Ovechkin","5.324999999999999","52","10100","LA@WAS","WAS","LA","","","",""
"14716-9416","G","Braden","Holtby","5.528888888888889","45","9700","LA@WAS","WAS","LA","","","",""
"14716-8986","LW","Jamie","Benn","4.697368421052632","57","9100","DAL@STL","DAL","STL","","","",""
"14716-8553","G","Brian","Elliott","4.760000000000001","30","8900","DAL@STL","STL","DAL","","","",""
"14716-8781","G","Cory","Schneider","5.102127659574468","47","8800","PHI@NJ","NJ","PHI","","","",""
"14716-8883","G","Ben","Bishop","4.519047619047619","42","8800","SJ@TB","TB","SJ","","","",""
"14716-9302","G","Michal","Neuvirth","5.336363636363637","22","8700","PHI@NJ","PHI","NJ","","","",""
"14716-8193","G","Tuukka","Rask","4.5","42","8600","BOS@CLS","BOS","CLS","","","",""
"14716-8655","RW","Steven","Stamkos","3.249090909090909","55","8400","SJ@TB","TB","SJ","","","",""
"14716-8763","LW","Brad","Marchand","4.327450980392157","51","8300","BOS@CLS","BOS","CLS","","","",""
"14716-8172","G","Kari","Lehtonen","4.423076923076923","26","8300","DAL@STL","DAL","STL","","","",""
"14716-12417","C","Tyler","Seguin","4.733333333333333","57","8300","DAL@STL","DAL","STL","","","",""
"14716-8134","C","Ryan","Getzlaf","3.1509803921568627","51","8200","ANH@EDM","ANH","EDM","","","",""
"14716-9278","G","Martin","Jones","4.608888888888889","45","8200","SJ@TB","SJ","TB","","","",""
"14716-8412","G","Jon","Quick","4.7681818181818185","44","8200","LA@WAS","LA","WAS","","","",""
"14716-23072","G","Frederik","Andersen","3.812903225806452","31","8200","ANH@EDM","ANH","EDM","","","",""
"14716-54065","G","Joonas","Korpisalo","4.855555555555556","18","8200","BOS@CLS","CLS","BOS","","","",""
"14716-8944","G","Chad","Johnson","4.09375","32","8100","BUF@OTT","BUF","OTT","","","",""
"14716-8312","G","Steve","Mason","4.311111111111112","36","8100","PHI@NJ","PHI","NJ","","","",""
"14716-23071","RW","Vladimir","Tarasenko","4.004464285714286","56","8100","DAL@STL","STL","DAL","","","",""
"14716-12163","G","Sergei","Bobrovsky","3.896296296296297","27","8000","BOS@CLS","CLS","BOS","IR","Groin","",""
"14716-8394","C","Anze","Kopitar","3.5636363636363635","55","7900","LA@WAS","LA","WAS","","","",""
"14716-8615","RW","Joe","Pavelski","4.105555555555555","54","7800","SJ@TB","SJ","TB","","","",""
"14716-15268","G","John","Gibson","4.2250000000000005","24","7700","ANH@EDM","ANH","EDM","DTD","Upper body","",""
"14716-8292","G","Craig","Anderson","4.7155555555555555","45","7700","BUF@OTT","OTT","BUF","","","",""
"14716-8303","LW","Jakub","Voracek","3.174545454545455","55","7700","PHI@NJ","PHI","NJ","","","",""
"14716-8551","D","Erik","Karlsson","4.0017543859649125","57","7700","BUF@OTT","OTT","BUF","","","",""
