Rank,EntryId,EntryName,TimeRemaining,Points,Lineup
1,349509974,prowant15,0,321.5,PG Reggie Jackson SG Khris Middleton SF Kevin Durant PF Draymond Green C Steven Adams F Serge Ibaka G O.J. Mayo UTIL Miles Plumlee
2,349520859,CZYX (38/50),0,317,PG Stephen Curry SG Andre Roberson SF Andre Iguodala PF Serge Ibaka C Andre Drummond F Draymond Green G Michael Carter-Williams UTIL Steven Adams
2,349531823,MunySquad (9/9),0,317,PG Stephen Curry SG Andre Roberson SF Andre Iguodala PF Serge Ibaka C Steven Adams F Draymond Green G Michael Carter-Williams UTIL Andre Drummond
4,349522376,aperfectgift123 (2/2),0,313,PG Reggie Jackson SG Klay Thompson SF Kevin Durant PF Serge Ibaka C Andre Drummond F Andre Iguodala G O.J. Mayo UTIL Miles Plumlee
5,349520637,leldred28 (2/2),0,310.25,PG Stephen Curry SG Andre Roberson SF Kevin Durant PF Serge Ibaka C Enes Kanter F Andre Iguodala G Khris Middleton UTIL Steven Adams
6,349510199,chris_732,0,309.75,PG Russell Westbrook SG Klay Thompson SF Andre Iguodala PF Serge Ibaka C Miles Plumlee F Draymond Green G Shaun Livingston UTIL Reggie Jackson
6,349520849,CZYX (28/50),0,309.75,PG Russell Westbrook SG Kentavious Caldwell-Pope SF Andre Iguodala PF Serge Ibaka C Andre Drummond F Draymond Green G Andre Roberson UTIL Steven Adams
8,349523947,gryan (1/50),0,308.75,PG Shaun Livingston SG Khris Middleton SF Marcus Morris PF Draymond Green C Miles Plumlee F Serge Ibaka G Stephen Curry UTIL Michael Carter-Williams
9,349495904,firo7777 (2/3),0,308.5,PG Stephen Curry SG Klay Thompson SF Kevin Durant PF Serge Ibaka C Aron Baynes F Andre Iguodala G Kentavious Caldwell-Pope UTIL Miles Plumlee
10,349487336,hoaglanr (9/50),0,307,PG Reggie Jackson SG Klay Thompson SF Kevin Durant PF Draymond Green C Steven Adams F Marcus Morris G O.J. Mayo UTIL Miles Plumlee
11,349523974,gryan (28/50),0,306.75,PG Stephen Curry SG Andre Roberson SF Andre Iguodala PF Serge Ibaka C Andre Drummond F Kevin Durant G Kentavious Caldwell-Pope UTIL Anderson Varejao
12,349486059,phillystalker2 (3/3),0,306.25,PG Stephen Curry SG Klay Thompson SF Marcus Morris PF Serge Ibaka C Andre Drummond F Andre Iguodala G Kentavious Caldwell-Pope UTIL Shaun Livingston
12,349496445,mike-amanda (1/2),0,306.25,PG Reggie Jackson SG Khris Middleton SF Marcus Morris PF Serge Ibaka C Enes Kanter F Andre Iguodala G Klay Thompson UTIL Draymond Green
14,349520868,CZYX (47/50),0,306,PG Michael Carter-Williams SG Klay Thompson SF Marcus Morris PF Serge Ibaka C Andre Drummond F Draymond Green G Kentavious Caldwell-Pope UTIL Steven Adams
15,349496461,Jancona123,0,305.5,PG Stephen Curry SG Klay Thompson SF Kevin Durant PF Serge Ibaka C Steven Adams F Andre Iguodala G Shaun Livingston UTIL O.J. Mayo
16,349529918,jepping26,0,305.25,PG Stephen Curry SG O.J. Mayo SF Tobias Harris PF Draymond Green C Miles Plumlee F Serge Ibaka G Reggie Jackson UTIL Andre Iguodala
17,349487333,hoaglanr (7/50),0,304.5,PG Michael Carter-Williams SG Khris Middleton SF Marcus Morris PF Draymond Green C Andre Drummond F Serge Ibaka G Kentavious Caldwell-Pope UTIL Steven Adams
17,349493623,swstonewall,0,304.5,PG Reggie Jackson SG Klay Thompson SF Marcus Morris PF Draymond Green C Anderson Varejao F Serge Ibaka G Kentavious Caldwell-Pope UTIL Andre Drummond
17,349506109,trentwarren (3/11),0,304.5,PG Russell Westbrook SG Andre Roberson SF Kevin Durant PF Serge Ibaka C Miles Plumlee F Reggie Bullock G Stephen Curry UTIL Anderson Varejao
20,349513663,JackRabbitZero (29/50),0,304,PG Stephen Curry SG Khris Middleton SF Marcus Morris PF Serge Ibaka C Aron Baynes F Kevin Durant G Darrun Hilliard UTIL Miles Plumlee
20,349519075,ced2bed,0,304,PG Stephen Curry SG O.J. Mayo SF Kevin Durant PF Draymond Green C Miles Plumlee F Andre Iguodala G Shaun Livingston UTIL Marcus Morris
22,349521413,rickrod746,0,303,PG Reggie Jackson SG Klay Thompson SF Tobias Harris PF Serge Ibaka C Steven Adams F Andre Iguodala G Khris Middleton UTIL Andre Drummond
23,349515094,japplayz,0,302.75,PG Russell Westbrook SG Rashad Vaughn SF Reggie Bullock PF Serge Ibaka C Miles Plumlee F Kevin Durant G Andre Roberson UTIL Stephen Curry
23,349520857,CZYX (36/50),0,302.75,PG Stephen Curry SG Klay Thompson SF Marcus Morris PF Serge Ibaka C Aron Baynes F Andre Iguodala G Kentavious Caldwell-Pope UTIL Andre Drummond
25,349514137,Cedric624 (2/5),0,302.25,PG Reggie Jackson SG Khris Middleton SF Tobias Harris PF Draymond Green C Andre Drummond F Serge Ibaka G O.J. Mayo UTIL Shaun Livingston
26,349531014,wag2526,0,301.75,PG Stephen Curry SG Khris Middleton SF Marcus Morris PF Draymond Green C Steven Adams F Harrison Barnes G Shaun Livingston UTIL Serge Ibaka
27,349519449,Dentev22,0,301,PG Russell Westbrook SG Darrun Hilliard SF Andre Iguodala PF Serge Ibaka C Miles Plumlee F Draymond Green G Stephen Curry UTIL Aron Baynes
28,349520824,CZYX (3/50),0,300.75,PG Russell Westbrook SG Klay Thompson SF Marcus Morris PF Serge Ibaka C Andre Drummond F Andre Iguodala G Kentavious Caldwell-Pope UTIL Andre Roberson
28,349531150,BigJibbaJabba,0,300.75,PG Russell Westbrook SG Andre Roberson SF Kevin Durant PF Serge Ibaka C Andre Drummond F Marcus Morris G Randy Foye UTIL Miles Plumlee
30,349519836,bigpoppa360,0,300.5,PG Michael Carter-Williams SG Kentavious Caldwell-Pope SF Andre Iguodala PF Draymond Green C Andre Drummond F Marcus Morris G Reggie Jackson UTIL Serge Ibaka
30,349522388,PBGM21 (9/10),0,300.5,PG Stephen Curry SG Khris Middleton SF Marcus Morris PF Serge Ibaka C Miles Plumlee F Jabari Parker G Reggie Jackson UTIL Steven Adams
32,349504195,Arcadieus (1/2),0,300.25,PG Reggie Jackson SG Kentavious Caldwell-Pope SF Kevin Durant PF Serge Ibaka C Steven Adams F Tobias Harris G Klay Thompson UTIL Andre Iguodala
32,349515496,MunySquad (3/9),0,300.25,PG Michael Carter-Williams SG Kentavious Caldwell-Pope SF Andre Iguodala PF Serge Ibaka C Steven Adams F Kevin Durant G Reggie Jackson UTIL Andre Drummond
34,349520865,CZYX (44/50),0,300,PG Michael Carter-Williams SG Klay Thompson SF Andre Iguodala PF Draymond Green C Aron Baynes F Kevin Durant G Andre Roberson UTIL Andre Drummond
34,349523951,gryan (5/50),0,300,PG Russell Westbrook SG Klay Thompson SF Andre Iguodala PF Serge Ibaka C Steven Adams F Kevin Durant G O.J. Mayo UTIL Andre Roberson
36,349487337,hoaglanr (10/50),0,299.5,PG Reggie Jackson SG Klay Thompson SF Kevin Durant PF Draymond Green C Steven Adams F Marcus Morris G Dion Waiters UTIL Miles Plumlee
36,349523972,gryan (26/50),0,299.5,PG Stephen Curry SG Andre Roberson SF Andre Iguodala PF Serge Ibaka C Andrew Bogut F Kevin Durant G Khris Middleton UTIL Steven Adams
38,349506248,hegotgame1980,0,299.25,PG Russell Westbrook SG Kentavious Caldwell-Pope SF Reggie Bullock PF Serge Ibaka C Miles Plumlee F Andre Iguodala G Stephen Curry UTIL Reggie Jackson
39,349507303,jpwilson1993 (1/2),0,299,PG Stephen Curry SG O.J. Mayo SF Marcus Morris PF Serge Ibaka C Andre Drummond F Andre Iguodala G Randy Foye UTIL Draymond Green
39,349530695,jpwilson1993 (2/2),0,299,PG Stephen Curry SG O.J. Mayo SF Marcus Morris PF Serge Ibaka C Andre Drummond F Andre Iguodala G Randy Foye UTIL Draymond Green
41,349513021,bravepacker,0,298.75,PG Michael Carter-Williams SG Khris Middleton SF Kevin Durant PF Draymond Green C Miles Plumlee F Reggie Bullock G Kentavious Caldwell-Pope UTIL Klay Thompson
42,349507419,tayman47 (1/4),0,298.5,PG Russell Westbrook SG Kentavious Caldwell-Pope SF Andre Iguodala PF Serge Ibaka C Steven Adams F Marcus Morris G Stephen Curry UTIL Miles Plumlee
42,349513762,Shaffner (32/50),0,298.5,PG Reggie Jackson SG Kentavious Caldwell-Pope SF Kevin Durant PF Serge Ibaka C Anderson Varejao F Andre Iguodala G Stephen Curry UTIL Steven Adams
