"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Stephen Curry",10700,"GS@NY 07:30PM ET",51.989,"GS"
"PG","Chris Paul",9600,"Chi@LAC 03:30PM ET",42.542,"LAC"
"PG","Damian Lillard",9200,"Min@Por 09:00PM ET",43.061,"Por"
"SG","Jimmy Butler",8900,"Chi@LAC 03:30PM ET",40.039,"Chi"
"C","Pau Gasol",8800,"Chi@LAC 03:30PM ET",40.512,"Chi"
"PF","Draymond Green",8800,"GS@NY 07:30PM ET",42.734,"GS"
"PG","Kemba Walker",8700,"Cha@LAL 09:30PM ET",37.766,"Cha"
"PF","Blake Griffin",8600,"Chi@LAC 03:30PM ET",43.567,"LAC"
"SF","Carmelo Anthony",8300,"GS@NY 07:30PM ET",38.682,"NY"
"SG","Eric Bledsoe",8300,"Pho@Dal 07:00PM ET",39.056,"Pho"
"PF","Paul Millsap",8200,"Atl@Mia 06:00PM ET",40.303,"Atl"
"PF","Chris Bosh",7700,"Atl@Mia 06:00PM ET",35.926,"Mia"
"C","DeAndre Jordan",7700,"Chi@LAC 03:30PM ET",35.950,"LAC"
"C","Nikola Vucevic",7600,"Bos@Orl 06:00PM ET",35.357,"Orl"
"PG","Isaiah Thomas",7500,"Bos@Orl 06:00PM ET",37.214,"Bos"
"C","Hassan Whiteside",7500,"Atl@Mia 06:00PM ET",35.384,"Mia"
"C","Karl-Anthony Towns",7400,"Min@Por 09:00PM ET",35.615,"Min"
"SG","Klay Thompson",7300,"GS@NY 07:30PM ET",32.517,"GS"
"SG","C.J. McCollum",7200,"Min@Por 09:00PM ET",34.538,"Por"
"PG","Brandon Knight",7200,"Pho@Dal 07:00PM ET",34.756,"Pho"
"PF","Kristaps Porzingis",7100,"GS@NY 07:30PM ET",31.115,"NY"
"SG","Dwyane Wade",7000,"Atl@Mia 06:00PM ET",32.795,"Mia"
"SF","Chandler Parsons",6900,"Pho@Dal 07:00PM ET",22.768,"Dal"
"SF","Nicolas Batum",6800,"Cha@LAL 09:30PM ET",33.128,"Cha"
"C","Al Horford",6700,"Atl@Mia 06:00PM ET",33.344,"Atl"
"SG","Victor Oladipo",6600,"Bos@Orl 06:00PM ET",28.963,"Orl"
"PF","Dirk Nowitzki",6300,"Pho@Dal 07:00PM ET",31.625,"Dal"
"SG","Andrew Wiggins",6200,"Min@Por 09:00PM ET",29.814,"Min"
"PG","Ricky Rubio",6100,"Min@Por 09:00PM ET",31.565,"Min"
"SF","Jae Crowder",6100,"Bos@Orl 06:00PM ET",28.719,"Bos"
"SF","Tobias Harris",6100,"Bos@Orl 06:00PM ET",28.900,"Orl"
"PF","Julius Randle",6100,"Cha@LAL 09:30PM ET",27.375,"LAL"
"PG","Derrick Rose",6000,"Chi@LAC 03:30PM ET",26.910,"Chi"
"PG","Deron Williams",5900,"Pho@Dal 07:00PM ET",27.854,"Dal"
"SG","Lou Williams",5900,"Cha@LAL 09:30PM ET",25.511,"LAL"
"C","Zaza Pachulia",5800,"Pho@Dal 07:00PM ET",29.301,"Dal"
"PG","Elfrid Payton",5800,"Bos@Orl 06:00PM ET",26.524,"Orl"
"SG","Archie Goodwin",5800,"Pho@Dal 07:00PM ET",13.982,"Pho"
"C","Al Jefferson",5700,"Cha@LAL 09:30PM ET",26.053,"Cha"
"SG","Avery Bradley",5700,"Bos@Orl 06:00PM ET",25.203,"Bos"
"PG","Jordan Clarkson",5700,"Cha@LAL 09:30PM ET",25.936,"LAL"
"PF","Taj Gibson",5600,"Chi@LAC 03:30PM ET",21.239,"Chi"
"PG","Jeff Teague",5500,"Atl@Mia 06:00PM ET",28.367,"Atl"
"PG","Goran Dragic",5500,"Atl@Mia 06:00PM ET",25.638,"Mia"
"C","Mason Plumlee",5500,"Min@Por 09:00PM ET",26.526,"Por"
"C","Jared Sullinger",5500,"Bos@Orl 06:00PM ET",27.154,"Bos"
"SG","Devin Booker",5500,"Pho@Dal 07:00PM ET",15.321,"Pho"
"SG","Kobe Bryant",5400,"Cha@LAL 09:30PM ET",27.763,"LAL"
"C","Joakim Noah",5400,"Chi@LAC 03:30PM ET",23.353,"Chi"
"PG","Jeremy Lin",5400,"Cha@LAL 09:30PM ET",23.494,"Cha"
"SF","Kent Bazemore",5400,"Atl@Mia 06:00PM ET",25.442,"Atl"
"SF","P.J. Tucker",5300,"Pho@Dal 07:00PM ET",19.542,"Pho"
"PF","Nikola Mirotic",5300,"Chi@LAC 03:30PM ET",23.261,"Chi"
"PF","Marvin Williams",5200,"Cha@LAL 09:30PM ET",24.239,"Cha"
"C","Spencer Hawes",5200,"Cha@LAL 09:30PM ET",15.598,"Cha"
"SF","Derrick Williams",5200,"GS@NY 07:30PM ET",16.547,"NY"
"PG","Marcus Smart",5200,"Bos@Orl 06:00PM ET",23.667,"Bos"
"PG","Zach LaVine",5200,"Min@Por 09:00PM ET",22.214,"Min"
