PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PF,DeMarcus Cousins (6231063),DeMarcus Cousins,6231063,11200,Sac@Den 09:00PM ET,Sac,
,,,,,,,,,SG,James Harden (6231031),James Harden,6231031,10400,Hou@Uta 09:00PM ET,Hou,
,,,,,,,,,PG,Damian Lillard (6231023),Damian Lillard,6231023,9600,Bkn@Por 10:00PM ET,Por,
,,,,,,,,,PG,Rajon Rondo (6231008),Rajon Rondo,6231008,8600,Sac@Den 09:00PM ET,Sac,
,,,,,,,,,C,Brook Lopez (6231089),Brook Lopez,6231089,7500,Bkn@Por 10:00PM ET,Bkn,
,,,,,,,,,PF,Derrick Favors (6231067),Derrick Favors,6231067,7300,Hou@Uta 09:00PM ET,Uta,
,,,,,,,,,C,Dwight Howard (6231084),Dwight Howard,6231084,7200,Hou@Uta 09:00PM ET,Hou,
,,,,,,,,,SG,C.J. McCollum (6231037),C.J. McCollum,6231037,7200,Bkn@Por 10:00PM ET,Por,
,,,,,,,,,SF,Danilo Gallinari (6231045),Danilo Gallinari,6231045,7100,Sac@Den 09:00PM ET,Den,
,,,,,,,,,SF,Gordon Hayward (6231051),Gordon Hayward,6231051,7000,Hou@Uta 09:00PM ET,Uta,
,,,,,,,,,PF,Thaddeus Young (6231072),Thaddeus Young,6231072,6800,Bkn@Por 10:00PM ET,Bkn,
,,,,,,,,,C,Rudy Gobert (6231087),Rudy Gobert,6231087,6800,Hou@Uta 09:00PM ET,Uta,
,,,,,,,,,SF,Rudy Gay (6231043),Rudy Gay,6231043,6700,Sac@Den 09:00PM ET,Sac,
,,,,,,,,,PG,Jarrett Jack (6231020),Jarrett Jack,6231020,6300,Bkn@Por 10:00PM ET,Bkn,
,,,,,,,,,SF,Trevor Ariza (6231048),Trevor Ariza,6231048,6200,Hou@Uta 09:00PM ET,Hou,
,,,,,,,,,SG,Rodney Hood (6231034),Rodney Hood,6231034,6000,Hou@Uta 09:00PM ET,Uta,
,,,,,,,,,PG,Emmanuel Mudiay (6231012),Emmanuel Mudiay,6231012,5900,Sac@Den 09:00PM ET,Den,
,,,,,,,,,SG,Will Barton (6231028),Will Barton,6231028,5800,Sac@Den 09:00PM ET,Den,
,,,,,,,,,PF,Kenneth Faried (6231061),Kenneth Faried,6231061,5700,Sac@Den 09:00PM ET,Den,
,,,,,,,,,C,Nikola Jokic (6231083),Nikola Jokic,6231083,5600,Sac@Den 09:00PM ET,Den,
,,,,,,,,,SF,Wilson Chandler (6231044),Wilson Chandler,6231044,5500,Sac@Den 09:00PM ET,Den,
,,,,,,,,,SF,Joe Johnson (6231054),Joe Johnson,6231054,5000,Bkn@Por 10:00PM ET,Bkn,
,,,,,,,,,SF,Omri Casspi (6231046),Omri Casspi,6231046,5000,Sac@Den 09:00PM ET,Sac,
,,,,,,,,,PG,Darren Collison (6231009),Darren Collison,6231009,4900,Sac@Den 09:00PM ET,Sac,
,,,,,,,,,PF,Clint Capela (6231070),Clint Capela,6231070,4900,Hou@Uta 09:00PM ET,Hou,
,,,,,,,,,PG,Patrick Beverley (6231015),Patrick Beverley,6231015,4700,Hou@Uta 09:00PM ET,Hou,
,,,,,,,,,SF,Al-Farouq Aminu (6231055),Al-Farouq Aminu,6231055,4700,Bkn@Por 10:00PM ET,Por,
,,,,,,,,,SG,Gary Harris (6231030),Gary Harris,6231030,4700,Sac@Den 09:00PM ET,Den,
,,,,,,,,,SG,Rondae Hollis-Jefferson (6231041),Rondae Hollis-Jefferson,6231041,4600,Bkn@Por 10:00PM ET,Bkn,
,,,,,,,,,SG,Marco Belinelli (6231026),Marco Belinelli,6231026,4500,Sac@Den 09:00PM ET,Sac,
,,,,,,,,,C,Mason Plumlee (6231090),Mason Plumlee,6231090,4500,Bkn@Por 10:00PM ET,Por,
,,,,,,,,,PG,Donald Sloan (6231022),Donald Sloan,6231022,4400,Bkn@Por 10:00PM ET,Bkn,
,,,,,,,,,SF,Maurice Harkless (6231057),Maurice Harkless,6231057,4400,Bkn@Por 10:00PM ET,Por,
,,,,,,,,,C,Willie Cauley-Stein (6231080),Willie Cauley-Stein,6231080,4300,Sac@Den 09:00PM ET,Sac,
,,,,,,,,,SF,Corey Brewer (6231049),Corey Brewer,6231049,4200,Hou@Uta 09:00PM ET,Hou,
,,,,,,,,,SG,Alec Burks (6231032),Alec Burks,6231032,4200,Hou@Uta 09:00PM ET,Uta,
,,,,,,,,,SG,Gerald Henderson (6231036),Gerald Henderson,6231036,4100,Bkn@Por 10:00PM ET,Por,
,,,,,,,,,PF,Ed Davis (6231073),Ed Davis,6231073,4000,Bkn@Por 10:00PM ET,Por,
,,,,,,,,,PF,Terrence Jones (6231068),Terrence Jones,6231068,4000,Hou@Uta 09:00PM ET,Hou,
,,,,,,,,,PF,Josh Smith (6231065),Josh Smith,6231065,3900,Hou@Uta 09:00PM ET,Hou,
,,,,,,,,,SG,Wayne Ellington (6231035),Wayne Ellington,6231035,3900,Bkn@Por 10:00PM ET,Bkn,
,,,,,,,,,PF,Trevor Booker (6231066),Trevor Booker,6231066,3900,Hou@Uta 09:00PM ET,Uta,
,,,,,,,,,SG,Allen Crabbe (6231038),Allen Crabbe,6231038,3900,Bkn@Por 10:00PM ET,Por,
,,,,,,,,,PG,Trey Burke (6231017),Trey Burke,6231017,3800,Hou@Uta 09:00PM ET,Uta,
,,,,,,,,,PG,Raul Neto (6231018),Raul Neto,6231018,3800,Hou@Uta 09:00PM ET,Uta,
,,,,,,,,,C,Jusuf Nurkic (6231082),Jusuf Nurkic,6231082,3800,Sac@Den 09:00PM ET,Den,
,,,,,,,,,PG,Jameer Nelson (6231007),Jameer Nelson,6231007,3700,Sac@Den 09:00PM ET,Den,
,,,,,,,,,PF,Darrell Arthur (6231060),Darrell Arthur,6231060,3700,Sac@Den 09:00PM ET,Den,
