PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SG,Eric Bledsoe (6252847),Eric Bledsoe,6252847,8300,Mem@Pho 09:30PM ET,Pho,
,,,,,,,,,C,Brook Lopez (6252875),Brook Lopez,6252875,7500,Bkn@Uta 09:30PM ET,Bkn,
,,,,,,,,,PF,Derrick Favors (6252865),Derrick Favors,6252865,7500,Bkn@Uta 09:30PM ET,Uta,
,,,,,,,,,PG,Mike Conley (6252834),Mike Conley,6252834,7300,Mem@Pho 09:30PM ET,Mem,
,,,,,,,,,PF,Zach Randolph (6252869),Zach Randolph,6252869,7000,Mem@Pho 09:30PM ET,Mem,
,,,,,,,,,C,Marc Gasol (6252881),Marc Gasol,6252881,7000,Mem@Pho 09:30PM ET,Mem,
,,,,,,,,,SF,Gordon Hayward (6252853),Gordon Hayward,6252853,7000,Bkn@Uta 09:30PM ET,Uta,
,,,,,,,,,PG,Brandon Knight (6252836),Brandon Knight,6252836,7000,Mem@Pho 09:30PM ET,Pho,
,,,,,,,,,PF,Thaddeus Young (6252862),Thaddeus Young,6252862,6900,Bkn@Uta 09:30PM ET,Bkn,
,,,,,,,,,PG,Jarrett Jack (6252825),Jarrett Jack,6252825,6300,Bkn@Uta 09:30PM ET,Bkn,
,,,,,,,,,C,Rudy Gobert (6252878),Rudy Gobert,6252878,6200,Bkn@Uta 09:30PM ET,Uta,
,,,,,,,,,SG,Rodney Hood (6252843),Rodney Hood,6252843,6100,Bkn@Uta 09:30PM ET,Uta,
,,,,,,,,,SF,Matt Barnes (6252855),Matt Barnes,6252855,5600,Mem@Pho 09:30PM ET,Mem,
,,,,,,,,,SF,Mirza Teletovic (6252860),Mirza Teletovic,6252860,5300,Mem@Pho 09:30PM ET,Pho,
,,,,,,,,,SG,Devin Booker (6252851),Devin Booker,6252851,5000,Mem@Pho 09:30PM ET,Pho,
,,,,,,,,,PG,Donald Sloan (6252826),Donald Sloan,6252826,4900,Bkn@Uta 09:30PM ET,Bkn,
,,,,,,,,,PG,Archie Goodwin (6252837),Archie Goodwin,6252837,4900,Mem@Pho 09:30PM ET,Pho,
,,,,,,,,,SF,P.J. Tucker (6252857),P.J. Tucker,6252857,4700,Mem@Pho 09:30PM ET,Pho,
,,,,,,,,,C,Alex Len (6252882),Alex Len,6252882,4700,Mem@Pho 09:30PM ET,Pho,
,,,,,,,,,C,Tyson Chandler (6252879),Tyson Chandler,6252879,4600,Mem@Pho 09:30PM ET,Pho,
,,,,,,,,,SG,Rondae Hollis-Jefferson (6252844),Rondae Hollis-Jefferson,6252844,4600,Bkn@Uta 09:30PM ET,Bkn,
