PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Russell Westbrook (6161833),Russell Westbrook,6161833,11300,OKC@Pho 09:00PM ET,OKC,
,,,,,,,,,PF,DeMarcus Cousins (6162097),DeMarcus Cousins,6162097,11200,Sac@Cle 07:00PM ET,Sac,
,,,,,,,,,SF,Kevin Durant (6162037),Kevin Durant,6162037,10700,OKC@Pho 09:00PM ET,OKC,
,,,,,,,,,PF,Anthony Davis (6162094),Anthony Davis,6162094,10000,NO@Min 08:00PM ET,NO,
,,,,,,,,,SF,LeBron James (6161998),LeBron James,6161998,9800,Sac@Cle 07:00PM ET,Cle,
,,,,,,,,,PG,Chris Paul (6161818),Chris Paul,6161818,9500,LAC@Phi 07:00PM ET,LAC,
,,,,,,,,,PG,Damian Lillard (6161806),Damian Lillard,6161806,9000,Por@Mem 08:00PM ET,Por,
,,,,,,,,,C,Pau Gasol (6162223),Pau Gasol,6162223,8700,Chi@Cha 07:00PM ET,Chi,
,,,,,,,,,PG,Kyle Lowry (6161825),Kyle Lowry,6161825,8700,Tor@Det 07:30PM ET,Tor,
,,,,,,,,,PF,Blake Griffin (6162122),Blake Griffin,6162122,8600,LAC@Phi 07:00PM ET,LAC,
,,,,,,,,,SG,Jimmy Butler (6161940),Jimmy Butler,6161940,8600,Chi@Cha 07:00PM ET,Chi,
,,,,,,,,,SF,Paul George (6162016),Paul George,6162016,8500,LAL@Ind 07:00PM ET,Ind,
,,,,,,,,,SG,Eric Bledsoe (6161933),Eric Bledsoe,6161933,8300,OKC@Pho 09:00PM ET,Pho,
,,,,,,,,,C,Andre Drummond (6162216),Andre Drummond,6162216,8200,Tor@Det 07:30PM ET,Det,
,,,,,,,,,C,Karl-Anthony Towns (6162185),Karl-Anthony Towns,6162185,8200,NO@Min 08:00PM ET,Min,
,,,,,,,,,PG,Kemba Walker (6161841),Kemba Walker,6161841,8100,Chi@Cha 07:00PM ET,Cha,
,,,,,,,,,PG,Rajon Rondo (6161799),Rajon Rondo,6161799,8000,Sac@Cle 07:00PM ET,Sac,
,,,,,,,,,SG,DeMar DeRozan (6161926),DeMar DeRozan,6161926,8000,Tor@Det 07:30PM ET,Tor,
,,,,,,,,,PF,Paul Millsap (6162141),Paul Millsap,6162141,7900,Orl@Atl 08:00PM ET,Atl,
,,,,,,,,,C,DeAndre Jordan (6162209),DeAndre Jordan,6162209,7900,LAC@Phi 07:00PM ET,LAC,
,,,,,,,,,C,Brook Lopez (6162197),Brook Lopez,6162197,7800,Den@Bkn 07:30PM ET,Bkn,
,,,,,,,,,PF,Kevin Love (6162095),Kevin Love,6162095,7700,Sac@Cle 07:00PM ET,Cle,
,,,,,,,,,C,Nikola Vucevic (6162232),Nikola Vucevic,6162232,7400,Orl@Atl 08:00PM ET,Orl,
,,,,,,,,,C,Marc Gasol (6162193),Marc Gasol,6162193,7300,Por@Mem 08:00PM ET,Mem,
,,,,,,,,,PG,Kyrie Irving (6161803),Kyrie Irving,6161803,7200,Sac@Cle 07:00PM ET,Cle,
,,,,,,,,,PG,Brandon Knight (6161834),Brandon Knight,6161834,7200,OKC@Pho 09:00PM ET,Pho,
,,,,,,,,,PG,Ish Smith (6161819),Ish Smith,6161819,7100,LAC@Phi 07:00PM ET,Phi,
,,,,,,,,,SG,C.J. McCollum (6161902),C.J. McCollum,6161902,7100,Por@Mem 08:00PM ET,Por,
,,,,,,,,,PG,Derrick Rose (6161840),Derrick Rose,6161840,7000,Chi@Cha 07:00PM ET,Chi,
,,,,,,,,,SF,Danilo Gallinari (6162011),Danilo Gallinari,6162011,7000,Den@Bkn 07:30PM ET,Den,
,,,,,,,,,PG,Jrue Holiday (6161794),Jrue Holiday,6161794,6900,NO@Min 08:00PM ET,NO,
,,,,,,,,,SG,Victor Oladipo (6161946),Victor Oladipo,6161946,6900,Orl@Atl 08:00PM ET,Orl,
,,,,,,,,,SF,Rudy Gay (6161999),Rudy Gay,6161999,6800,Sac@Cle 07:00PM ET,Sac,
,,,,,,,,,SG,Tyreke Evans (6161889),Tyreke Evans,6161889,6800,NO@Min 08:00PM ET,NO,
