PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PF,Paul Millsap (6290535),Paul Millsap,6290535,8000,Atl@LAL 10:30PM ET,Atl,
,,,,,,,,,C,Al Horford (6290546),Al Horford,6290546,7400,Atl@LAL 10:30PM ET,Atl,
,,,,,,,,,C,Brook Lopez (6290552),Brook Lopez,6290552,7400,Bkn@Den 09:00PM ET,Bkn,
,,,,,,,,,PF,Thaddeus Young (6290539),Thaddeus Young,6290539,6900,Bkn@Den 09:00PM ET,Bkn,
,,,,,,,,,SF,Danilo Gallinari (6290530),Danilo Gallinari,6290530,6400,Bkn@Den 09:00PM ET,Den,
,,,,,,,,,PG,D'Angelo Russell (6290503),D'Angelo Russell,6290503,6300,Atl@LAL 10:30PM ET,LAL,
,,,,,,,,,PG,Jarrett Jack (6290505),Jarrett Jack,6290505,6200,Bkn@Den 09:00PM ET,Bkn,
,,,,,,,,,SG,Will Barton (6290519),Will Barton,6290519,6200,Bkn@Den 09:00PM ET,Den,
,,,,,,,,,PF,Kenneth Faried (6290541),Kenneth Faried,6290541,6000,Bkn@Den 09:00PM ET,Den,
,,,,,,,,,PG,Jeff Teague (6290499),Jeff Teague,6290499,5900,Atl@LAL 10:30PM ET,Atl,
,,,,,,,,,PF,Julius Randle (6290538),Julius Randle,6290538,5900,Atl@LAL 10:30PM ET,LAL,
,,,,,,,,,PG,Jordan Clarkson (6290500),Jordan Clarkson,6290500,5700,Atl@LAL 10:30PM ET,LAL,
,,,,,,,,,C,Nikola Jokic (6290555),Nikola Jokic,6290555,5700,Bkn@Den 09:00PM ET,Den,
,,,,,,,,,SF,Wilson Chandler (6290529),Wilson Chandler,6290529,5400,Bkn@Den 09:00PM ET,Den,
,,,,,,,,,PG,Emmanuel Mudiay (6290509),Emmanuel Mudiay,6290509,5400,Bkn@Den 09:00PM ET,Den,
,,,,,,,,,SG,Kobe Bryant (6290510),Kobe Bryant,6290510,5300,Atl@LAL 10:30PM ET,LAL,
,,,,,,,,,SF,Kent Bazemore (6290526),Kent Bazemore,6290526,5300,Atl@LAL 10:30PM ET,Atl,
,,,,,,,,,PG,Donald Sloan (6290507),Donald Sloan,6290507,4900,Bkn@Den 09:00PM ET,Bkn,
,,,,,,,,,PG,Dennis Schroder (6290502),Dennis Schroder,6290502,4800,Atl@LAL 10:30PM ET,Atl,
,,,,,,,,,SG,Lou Williams (6290513),Lou Williams,6290513,4700,Atl@LAL 10:30PM ET,LAL,
,,,,,,,,,SG,Gary Harris (6290522),Gary Harris,6290522,4600,Bkn@Den 09:00PM ET,Den,
,,,,,,,,,SG,Rondae Hollis-Jefferson (6290523),Rondae Hollis-Jefferson,6290523,4500,Bkn@Den 09:00PM ET,Bkn,
,,,,,,,,,SG,Kyle Korver (6290511),Kyle Korver,6290511,4400,Atl@LAL 10:30PM ET,Atl,
,,,,,,,,,SG,Bojan Bogdanovic (6290521),Bojan Bogdanovic,6290521,4400,Bkn@Den 09:00PM ET,Bkn,
,,,,,,,,,PG,D.J. Augustin (6290506),D.J. Augustin,6290506,3900,Bkn@Den 09:00PM ET,Den,
,,,,,,,,,PF,Darrell Arthur (6290540),Darrell Arthur,6290540,3900,Bkn@Den 09:00PM ET,Den,
,,,,,,,,,SG,Wayne Ellington (6290517),Wayne Ellington,6290517,3800,Bkn@Den 09:00PM ET,Bkn,
,,,,,,,,,PF,Brandon Bass (6290534),Brandon Bass,6290534,3600,Atl@LAL 10:30PM ET,LAL,
