PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Damian Lillard (6302159),Damian Lillard,6302159,9200,Por@Det 06:00PM ET,Por,
,,,,,,,,,C,Hassan Whiteside (6302219),Hassan Whiteside,6302219,8400,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,C,Andre Drummond (6302232),Andre Drummond,6302232,7700,Por@Det 06:00PM ET,Det,
,,,,,,,,,SG,Dwyane Wade (6302161),Dwyane Wade,6302161,7200,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,PG,Goran Dragic (6302146),Goran Dragic,6302146,7000,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,SG,C.J. McCollum (6302174),C.J. McCollum,6302174,6900,Por@Det 06:00PM ET,Por,
,,,,,,,,,SF,Chandler Parsons (6302185),Chandler Parsons,6302185,6800,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,PF,Chris Bosh (6302198),Chris Bosh,6302198,6700,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,PG,Reggie Jackson (6302158),Reggie Jackson,6302158,6600,Por@Det 06:00PM ET,Det,
,,,,,,,,,PG,Ish Smith (6302145),Ish Smith,6302145,6400,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,SF,Danilo Gallinari (6302186),Danilo Gallinari,6302186,6400,Dal@Den 05:00PM ET,Den,
,,,,,,,,,PF,Dirk Nowitzki (6302205),Dirk Nowitzki,6302205,6200,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,SF,Tobias Harris (6302193),Tobias Harris,6302193,6200,Por@Det 06:00PM ET,Det,
,,,,,,,,,PF,Kenneth Faried (6302209),Kenneth Faried,6302209,6000,Dal@Den 05:00PM ET,Den,
,,,,,,,,,SF,Luol Deng (6302179),Luol Deng,6302179,5900,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,SG,Will Barton (6302170),Will Barton,6302170,5900,Dal@Den 05:00PM ET,Den,
,,,,,,,,,PF,Nerlens Noel (6302203),Nerlens Noel,6302203,5900,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,C,Nikola Jokic (6302227),Nikola Jokic,6302227,5800,Dal@Den 05:00PM ET,Den,
,,,,,,,,,C,Jahlil Okafor (6302221),Jahlil Okafor,6302221,5800,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,SF,Robert Covington (6302180),Robert Covington,6302180,5700,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,PG,Emmanuel Mudiay (6302155),Emmanuel Mudiay,6302155,5700,Dal@Den 05:00PM ET,Den,
,,,,,,,,,PG,Deron Williams (6302152),Deron Williams,6302152,5600,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,SF,Joe Johnson (6302178),Joe Johnson,6302178,5500,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,SF,Wilson Chandler (6302183),Wilson Chandler,6302183,5400,Dal@Den 05:00PM ET,Den,
,,,,,,,,,C,Zaza Pachulia (6302222),Zaza Pachulia,6302222,5200,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,SF,Marcus Morris (6302191),Marcus Morris,6302191,5100,Por@Det 06:00PM ET,Det,
,,,,,,,,,SF,Jerami Grant (6302181),Jerami Grant,6302181,5100,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,SG,Wesley Matthews (6302169),Wesley Matthews,6302169,4900,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,SG,Kentavious Caldwell-Pope (6302177),Kentavious Caldwell-Pope,6302177,4700,Por@Det 06:00PM ET,Det,
,,,,,,,,,SG,Gary Harris (6302171),Gary Harris,6302171,4700,Dal@Den 05:00PM ET,Den,
,,,,,,,,,PF,David Lee (6302206),David Lee,6302206,4600,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,C,Mason Plumlee (6302230),Mason Plumlee,6302230,4500,Por@Det 06:00PM ET,Por,
,,,,,,,,,SF,Stanley Johnson (6302196),Stanley Johnson,6302196,4400,Por@Det 06:00PM ET,Det,
,,,,,,,,,SG,Raymond Felton (6302168),Raymond Felton,6302168,4200,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,SF,Al-Farouq Aminu (6302190),Al-Farouq Aminu,6302190,4200,Por@Det 06:00PM ET,Por,
,,,,,,,,,SF,Justise Winslow (6302182),Justise Winslow,6302182,4200,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,PF,Ed Davis (6302214),Ed Davis,6302214,4100,Por@Det 06:00PM ET,Por,
,,,,,,,,,PG,D.J. Augustin (6302154),D.J. Augustin,6302154,4000,Dal@Den 05:00PM ET,Den,
,,,,,,,,,PG,Isaiah Canaan (6302147),Isaiah Canaan,6302147,4000,Phi@Mia 06:00PM ET,Phi,
,,,,,,,,,PF,Darrell Arthur (6302208),Darrell Arthur,6302208,3900,Dal@Den 05:00PM ET,Den,
,,,,,,,,,PG,J.J. Barea (6302153),J.J. Barea,6302153,3800,Dal@Den 05:00PM ET,Dal,
,,,,,,,,,SG,Tyler Johnson (6302164),Tyler Johnson,6302164,3800,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,C,Amar'e Stoudemire (6302218),Amar'e Stoudemire,6302218,3700,Phi@Mia 06:00PM ET,Mia,
,,,,,,,,,SG,Gerald Henderson (6302173),Gerald Henderson,6302173,3600,Por@Det 06:00PM ET,Por,
,,,,,,,,,SG,Hollis Thompson (6302163),Hollis Thompson,6302163,3600,Phi@Mia 06:00PM ET,Phi,
