PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Damian Lillard (6308647),Damian Lillard,6308647,9600,Was@Por 10:00PM ET,Por,
,,,,,,,,,PG,John Wall (6308648),John Wall,6308648,9400,Was@Por 10:00PM ET,Was,
,,,,,,,,,C,Nikola Vucevic (6308879),Nikola Vucevic,6308879,7800,Orl@LAL 10:30PM ET,Orl,
,,,,,,,,,SG,C.J. McCollum (6308710),C.J. McCollum,6308710,7200,Was@Por 10:00PM ET,Por,
,,,,,,,,,SG,Victor Oladipo (6308703),Victor Oladipo,6308703,7100,Orl@LAL 10:30PM ET,Orl,
,,,,,,,,,PG,D'Angelo Russell (6308644),D'Angelo Russell,6308644,6900,Orl@LAL 10:30PM ET,LAL,
,,,,,,,,,C,Marcin Gortat (6308883),Marcin Gortat,6308883,6800,Was@Por 10:00PM ET,Was,
,,,,,,,,,PF,Aaron Gordon (6308828),Aaron Gordon,6308828,6700,Orl@LAL 10:30PM ET,Orl,
,,,,,,,,,PF,Julius Randle (6308829),Julius Randle,6308829,6200,Orl@LAL 10:30PM ET,LAL,
,,,,,,,,,PG,Jordan Clarkson (6308640),Jordan Clarkson,6308640,5900,Orl@LAL 10:30PM ET,LAL,
,,,,,,,,,PG,Elfrid Payton (6308643),Elfrid Payton,6308643,5900,Orl@LAL 10:30PM ET,Orl,
,,,,,,,,,SG,Evan Fournier (6308704),Evan Fournier,6308704,5700,Orl@LAL 10:30PM ET,Orl,
,,,,,,,,,SG,Bradley Beal (6308713),Bradley Beal,6308713,5600,Was@Por 10:00PM ET,Was,
,,,,,,,,,PF,Markieff Morris (6308834),Markieff Morris,6308834,5500,Was@Por 10:00PM ET,Was,
,,,,,,,,,SG,Kobe Bryant (6308700),Kobe Bryant,6308700,5100,Orl@LAL 10:30PM ET,LAL,
,,,,,,,,,SG,Lou Williams (6308702),Lou Williams,6308702,4700,Orl@LAL 10:30PM ET,LAL,
,,,,,,,,,SF,Otto Porter (6308766),Otto Porter,6308766,4400,Was@Por 10:00PM ET,Was,
