PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Stephen Curry (6123636),Stephen Curry,6123636,10700,GS@NY 07:30PM ET,GS,
,,,,,,,,,PG,Chris Paul (6123622),Chris Paul,6123622,9600,Chi@LAC 03:30PM ET,LAC,
,,,,,,,,,PG,Damian Lillard (6123644),Damian Lillard,6123644,9200,Min@Por 09:00PM ET,Por,
,,,,,,,,,SG,Jimmy Butler (6123664),Jimmy Butler,6123664,8900,Chi@LAC 03:30PM ET,Chi,
,,,,,,,,,C,Pau Gasol (6123793),Pau Gasol,6123793,8800,Chi@LAC 03:30PM ET,Chi,
,,,,,,,,,PF,Draymond Green (6123762),Draymond Green,6123762,8800,GS@NY 07:30PM ET,GS,
,,,,,,,,,PG,Kemba Walker (6123615),Kemba Walker,6123615,8700,Cha@LAL 09:30PM ET,Cha,
,,,,,,,,,PF,Blake Griffin (6123749),Blake Griffin,6123749,8600,Chi@LAC 03:30PM ET,LAC,
,,,,,,,,,SF,Carmelo Anthony (6123714),Carmelo Anthony,6123714,8300,GS@NY 07:30PM ET,NY,
,,,,,,,,,SG,Eric Bledsoe (6123683),Eric Bledsoe,6123683,8300,Pho@Dal 07:00PM ET,Pho,
,,,,,,,,,PF,Paul Millsap (6123737),Paul Millsap,6123737,8200,Atl@Mia 06:00PM ET,Atl,
,,,,,,,,,PF,Chris Bosh (6123735),Chris Bosh,6123735,7700,Atl@Mia 06:00PM ET,Mia,
,,,,,,,,,C,DeAndre Jordan (6123795),DeAndre Jordan,6123795,7700,Chi@LAC 03:30PM ET,LAC,
,,,,,,,,,C,Nikola Vucevic (6123798),Nikola Vucevic,6123798,7600,Bos@Orl 06:00PM ET,Orl,
,,,,,,,,,PG,Isaiah Thomas (6123627),Isaiah Thomas,6123627,7500,Bos@Orl 06:00PM ET,Bos,
,,,,,,,,,C,Hassan Whiteside (6123783),Hassan Whiteside,6123783,7500,Atl@Mia 06:00PM ET,Mia,
,,,,,,,,,C,Karl-Anthony Towns (6123817),Karl-Anthony Towns,6123817,7400,Min@Por 09:00PM ET,Min,
,,,,,,,,,SG,Klay Thompson (6123677),Klay Thompson,6123677,7300,GS@NY 07:30PM ET,GS,
,,,,,,,,,SG,C.J. McCollum (6123690),C.J. McCollum,6123690,7200,Min@Por 09:00PM ET,Por,
,,,,,,,,,PG,Brandon Knight (6123642),Brandon Knight,6123642,7200,Pho@Dal 07:00PM ET,Pho,
,,,,,,,,,PF,Kristaps Porzingis (6123767),Kristaps Porzingis,6123767,7100,GS@NY 07:30PM ET,NY,
,,,,,,,,,SG,Dwyane Wade (6123650),Dwyane Wade,6123650,7000,Atl@Mia 06:00PM ET,Mia,
,,,,,,,,,SF,Chandler Parsons (6123723),Chandler Parsons,6123723,6900,Pho@Dal 07:00PM ET,Dal,
,,,,,,,,,SF,Nicolas Batum (6123698),Nicolas Batum,6123698,6800,Cha@LAL 09:30PM ET,Cha,
,,,,,,,,,C,Al Horford (6123781),Al Horford,6123781,6700,Atl@Mia 06:00PM ET,Atl,
,,,,,,,,,SG,Victor Oladipo (6123669),Victor Oladipo,6123669,6600,Bos@Orl 06:00PM ET,Orl,
,,,,,,,,,PF,Dirk Nowitzki (6123768),Dirk Nowitzki,6123768,6300,Pho@Dal 07:00PM ET,Dal,
,,,,,,,,,SG,Andrew Wiggins (6123692),Andrew Wiggins,6123692,6200,Min@Por 09:00PM ET,Min,
,,,,,,,,,PG,Ricky Rubio (6123645),Ricky Rubio,6123645,6100,Min@Por 09:00PM ET,Min,
,,,,,,,,,SF,Jae Crowder (6123710),Jae Crowder,6123710,6100,Bos@Orl 06:00PM ET,Bos,
,,,,,,,,,SF,Tobias Harris (6123711),Tobias Harris,6123711,6100,Bos@Orl 06:00PM ET,Orl,
,,,,,,,,,PF,Julius Randle (6123745),Julius Randle,6123745,6100,Cha@LAL 09:30PM ET,LAL,
,,,,,,,,,PG,Derrick Rose (6123624),Derrick Rose,6123624,6000,Chi@LAC 03:30PM ET,Chi,
,,,,,,,,,PG,Deron Williams (6123640),Deron Williams,6123640,5900,Pho@Dal 07:00PM ET,Dal,
,,,,,,,,,SG,Lou Williams (6123659),Lou Williams,6123659,5900,Cha@LAL 09:30PM ET,LAL,
