C,C,W,W,W,D,D,G,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,G,Roberto Luongo (6180905),Roberto Luongo,6180905,8300,StL@Fla 07:30PM ET,Fla,
,,,,,,,,,,G,Henrik Lundqvist (6180879),Henrik Lundqvist,6180879,8300,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,G,Brian Elliott (6180907),Brian Elliott,6180907,8200,StL@Fla 07:30PM ET,StL,
,,,,,,,,,,G,Jonathan Quick (6180880),Jonathan Quick,6180880,8200,LA@NYR 07:00PM ET,LA,
,,,,,,,,,,G,Marc-Andre Fleury (6180887),Marc-Andre Fleury,6180887,8100,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,C,Sidney Crosby (6180576),Sidney Crosby,6180576,8100,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,G,Petr Mrazek (6180895),Petr Mrazek,6180895,8000,Col@Det 07:30PM ET,Det,
,,,,,,,,,,G,Semyon Varlamov (6180893),Semyon Varlamov,6180893,7900,Col@Det 07:30PM ET,Col,
,,,,,,,,,,G,Andrei Vasilevskiy (6180902),Andrei Vasilevskiy,6180902,7800,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,G,Ben Bishop (6180900),Ben Bishop,6180900,7700,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,G,Jeff Zatkoff (6180888),Jeff Zatkoff,6180888,7600,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,C,Evgeni Malkin (6180575),Evgeni Malkin,6180575,7500,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,G,Al Montoya (6180906),Al Montoya,6180906,7500,StL@Fla 07:30PM ET,Fla,
,,,,,,,,,,G,Karri Ramo (6180913),Karri Ramo,6180913,7500,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,G,Pekka Rinne (6180899),Pekka Rinne,6180899,7400,Nsh@TB 07:30PM ET,Nsh,
,,,,,,,,,,G,Jake Allen (6180909),Jake Allen,6180909,7400,StL@Fla 07:30PM ET,StL,
,,,,,,,,,,RW,Vladimir Tarasenko (6180752),Vladimir Tarasenko,6180752,7400,StL@Fla 07:30PM ET,StL,
,,,,,,,,,,G,Jhonas Enroth (6180881),Jhonas Enroth,6180881,7300,LA@NYR 07:00PM ET,LA,
,,,,,,,,,,G,Mike Condon (6180878),Mike Condon,6180878,7300,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,G,Jimmy Howard (6180892),Jimmy Howard,6180892,7200,Col@Det 07:30PM ET,Det,
,,,,,,,,,,G,Carter Hutton (6180901),Carter Hutton,6180901,7200,Nsh@TB 07:30PM ET,Nsh,
,,,,,,,,,,G,Carey Price (6180873),Carey Price,6180873,7100,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,G,Cam Ward (6180885),Cam Ward,6180885,7000,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,LW,Max Pacioretty (6180649),Max Pacioretty,6180649,7000,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,G,Ben Scrivens (6180876),Ben Scrivens,6180876,7000,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,D,Roman Josi (6180834),Roman Josi,6180834,7000,Nsh@TB 07:30PM ET,Nsh,
,,,,,,,,,,LW,Johnny Gaudreau (6180707),Johnny Gaudreau,6180707,7000,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,LW,Rick Nash (6180659),Rick Nash,6180659,6900,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,G,Chad Johnson (6180874),Chad Johnson,6180874,6900,Mon@Buf 07:00PM ET,Buf,
,,,,,,,,,,G,Robin Lehner (6180875),Robin Lehner,6180875,6900,Mon@Buf 07:00PM ET,Buf,
,,,,,,,,,,C,Steven Stamkos (6180608),Steven Stamkos,6180608,6800,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,G,Eddie Lack (6180889),Eddie Lack,6180889,6800,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,G,Calvin Pickard (6180894),Calvin Pickard,6180894,6800,Col@Det 07:30PM ET,Col,
,,,,,,,,,,D,Mark Giordano (6180860),Mark Giordano,6180860,6700,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,D,Kris Letang (6180797),Kris Letang,6180797,6700,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,G,Jonas Hiller (6180914),Jonas Hiller,6180914,6700,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,RW,Nikita Kucherov (6180744),Nikita Kucherov,6180744,6700,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,G,Antti Raanta (6180883),Antti Raanta,6180883,6700,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,RW,Patric Hornqvist (6180727),Patric Hornqvist,6180727,6600,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,G,Louis Domingue (6180916),Louis Domingue,6180916,6600,Cgy@Ari 09:00PM ET,Ari,
,,,,,,,,,,C,Nathan MacKinnon (6180600),Nathan MacKinnon,6180600,6600,Col@Det 07:30PM ET,Col,
,,,,,,,,,,D,Kevin Shattenkirk (6180845),Kevin Shattenkirk,6180845,6500,StL@Fla 07:30PM ET,StL,
,,,,,,,,,,C,Matt Duchene (6180594),Matt Duchene,6180594,6500,Col@Det 07:30PM ET,Col,
,,,,,,,,,,G,Linus Ullmark (6180877),Linus Ullmark,6180877,6500,Mon@Buf 07:00PM ET,Buf,
,,,,,,,,,,G,Reto Berra (6180897),Reto Berra,6180897,6500,Col@Det 07:30PM ET,Col,
,,,,,,,,,,LW,Alexander Steen (6180697),Alexander Steen,6180697,6400,StL@Fla 07:30PM ET,StL,
,,,,,,,,,,RW,Phil Kessel (6180726),Phil Kessel,6180726,6400,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,G,Anders Lindback (6180915),Anders Lindback,6180915,6400,Cgy@Ari 09:00PM ET,Ari,
,,,,,,,,,,G,Matt Murray (6180891),Matt Murray,6180891,6400,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,G,Mike Smith (6180912),Mike Smith,6180912,6300,Cgy@Ari 09:00PM ET,Ari,
,,,,,,,,,,C,Anze Kopitar (6180564),Anze Kopitar,6180564,6300,LA@NYR 07:00PM ET,LA,
,,,,,,,,,,D,P.K. Subban (6180770),P.K. Subban,6180770,6300,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,D,Justin Faulk (6180802),Justin Faulk,6180802,6300,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,D,Shea Weber (6180829),Shea Weber,6180829,6200,Nsh@TB 07:30PM ET,Nsh,
,,,,,,,,,,LW,Evander Kane (6180650),Evander Kane,6180650,6200,Mon@Buf 07:00PM ET,Buf,
,,,,,,,,,,G,Daniel Altshuller (6180890),Daniel Altshuller,6180890,6200,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,C,Aleksander Barkov (6180630),Aleksander Barkov,6180630,6200,StL@Fla 07:30PM ET,Fla,
,,,,,,,,,,D,Victor Hedman (6180832),Victor Hedman,6180832,6100,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,D,Oliver Ekman-Larsson (6180865),Oliver Ekman-Larsson,6180865,6100,Cgy@Ari 09:00PM ET,Ari,
,,,,,,,,,,C,Ryan Johansen (6180609),Ryan Johansen,6180609,6100,Nsh@TB 07:30PM ET,Nsh,
,,,,,,,,,,RW,Tyler Toffoli (6180721),Tyler Toffoli,6180721,6100,LA@NYR 07:00PM ET,LA,
,,,,,,,,,,C,Pavel Datsyuk (6180587),Pavel Datsyuk,6180587,6000,Col@Det 07:30PM ET,Det,
,,,,,,,,,,G,Drew MacIntyre (6180886),Drew MacIntyre,6180886,6000,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,G,Mike McKenna (6180908),Mike McKenna,6180908,6000,StL@Fla 07:30PM ET,Fla,
,,,,,,,,,,D,Drew Doughty (6180788),Drew Doughty,6180788,6000,LA@NYR 07:00PM ET,LA,
,,,,,,,,,,LW,Gabriel Landeskog (6180687),Gabriel Landeskog,6180687,6000,Col@Det 07:30PM ET,Col,
,,,,,,,,,,G,Magnus Hellberg (6180882),Magnus Hellberg,6180882,6000,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,G,Jordan Binnington (6180910),Jordan Binnington,6180910,6000,StL@Fla 07:30PM ET,StL,
,,,,,,,,,,G,Jon Gillies (6180917),Jon Gillies,6180917,6000,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,G,Jared Coreau (6180896),Jared Coreau,6180896,6000,Col@Det 07:30PM ET,Det,
,,,,,,,,,,G,Juuse Saros (6180903),Juuse Saros,6180903,6000,Nsh@TB 07:30PM ET,Nsh,
,,,,,,,,,,G,Kristers Gudlevskis (6180904),Kristers Gudlevskis,6180904,6000,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,G,Patrik Bartosak (6180884),Patrik Bartosak,6180884,6000,LA@NYR 07:00PM ET,LA,
,,,,,,,,,,G,Pheonix Copley (6180911),Pheonix Copley,6180911,6000,StL@Fla 07:30PM ET,StL,
,,,,,,,,,,G,Roman Will (6180898),Roman Will,6180898,6000,Col@Det 07:30PM ET,Col,
,,,,,,,,,,LW,Ryan O'Reilly (6180652),Ryan O'Reilly,6180652,5900,Mon@Buf 07:00PM ET,Buf,
,,,,,,,,,,RW,Mats Zuccarello (6180719),Mats Zuccarello,6180719,5900,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,RW,Brendan Gallagher (6180715),Brendan Gallagher,6180715,5900,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,C,Sean Monahan (6180642),Sean Monahan,6180642,5900,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,RW,Jaromir Jagr (6180747),Jaromir Jagr,6180747,5800,StL@Fla 07:30PM ET,Fla,
,,,,,,,,,,D,Francois Beauchemin (6180810),Francois Beauchemin,6180810,5800,Col@Det 07:30PM ET,Col,
,,,,,,,,,,C,Jeff Carter (6180563),Jeff Carter,6180563,5800,LA@NYR 07:00PM ET,LA,
,,,,,,,,,,C,Derick Brassard (6180565),Derick Brassard,6180565,5800,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,LW,Filip Forsberg (6180694),Filip Forsberg,6180694,5800,Nsh@TB 07:30PM ET,Nsh,
