C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,LW,Alex Ovechkin (6197406),Alex Ovechkin,6197406,8900,LA@Was 07:00PM ET,Was,
,,,,,,,,,,C,Tyler Seguin (6197376),Tyler Seguin,6197376,8600,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,G,Brian Elliott (6197700),Brian Elliott,6197700,8400,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,LW,Jamie Benn (6197451),Jamie Benn,6197451,8400,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,G,Braden Holtby (6197671),Braden Holtby,6197671,8400,LA@Was 07:00PM ET,Was,
,,,,,,,,,,D,Brent Burns (6197613),Brent Burns,6197613,8300,SJ@TB 07:30PM ET,SJ,
,,,,,,,,,,G,Cory Schneider (6197661),Cory Schneider,6197661,8300,Phi@NJ 07:00PM ET,NJ,
,,,,,,,,,,G,Tuukka Rask (6197681),Tuukka Rask,6197681,8200,Bos@Cls 07:00PM ET,Bos,
,,,,,,,,,,G,Jonathan Quick (6197669),Jonathan Quick,6197669,8100,LA@Was 07:00PM ET,LA,
,,,,,,,,,,G,Craig Anderson (6197687),Craig Anderson,6197687,7800,Buf@Ott 07:30PM ET,Ott,
,,,,,,,,,,D,Erik Karlsson (6197603),Erik Karlsson,6197603,7800,Buf@Ott 07:30PM ET,Ott,
,,,,,,,,,,C,Joe Pavelski (6197357),Joe Pavelski,6197357,7700,SJ@TB 07:30PM ET,SJ,
,,,,,,,,,,G,Ben Bishop (6197693),Ben Bishop,6197693,7700,SJ@TB 07:30PM ET,TB,
,,,,,,,,,,G,Andrei Vasilevskiy (6197696),Andrei Vasilevskiy,6197696,7600,SJ@TB 07:30PM ET,TB,
,,,,,,,,,,G,Steve Mason (6197662),Steve Mason,6197662,7500,Phi@NJ 07:00PM ET,Phi,
,,,,,,,,,,G,Andrew Hammond (6197692),Andrew Hammond,6197692,7500,Buf@Ott 07:30PM ET,Ott,
,,,,,,,,,,G,Jake Allen (6197702),Jake Allen,6197702,7400,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,G,Frederik Andersen (6197709),Frederik Andersen,6197709,7400,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,C,Patrice Bergeron (6197332),Patrice Bergeron,6197332,7300,Bos@Cls 07:00PM ET,Bos,
,,,,,,,,,,G,Michal Neuvirth (6197663),Michal Neuvirth,6197663,7300,Phi@NJ 07:00PM ET,Phi,
,,,,,,,,,,G,Jhonas Enroth (6197670),Jhonas Enroth,6197670,7300,LA@Was 07:00PM ET,LA,
,,,,,,,,,,G,Martin Jones (6197694),Martin Jones,6197694,7300,SJ@TB 07:30PM ET,SJ,
,,,,,,,,,,G,Cam Talbot (6197708),Cam Talbot,6197708,7300,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,G,Kari Lehtonen (6197699),Kari Lehtonen,6197699,7200,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,RW,Vladimir Tarasenko (6197520),Vladimir Tarasenko,6197520,7200,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,G,Keith Kinkaid (6197664),Keith Kinkaid,6197664,7200,Phi@NJ 07:00PM ET,NJ,
,,,,,,,,,,C,Nicklas Backstrom (6197309),Nicklas Backstrom,6197309,7100,LA@Was 07:00PM ET,Was,
,,,,,,,,,,G,John Gibson (6197710),John Gibson,6197710,7100,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,G,Joonas Korpisalo (6197686),Joonas Korpisalo,6197686,7100,Bos@Cls 07:00PM ET,Cls,
,,,,,,,,,,RW,Blake Wheeler (6197480),Blake Wheeler,6197480,7000,Wpg@Car 07:00PM ET,Wpg,
,,,,,,,,,,G,Antti Niemi (6197701),Antti Niemi,6197701,7000,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,G,Robin Lehner (6197689),Robin Lehner,6197689,7000,Buf@Ott 07:30PM ET,Buf,
