C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,C,Tyler Seguin (6198322),Tyler Seguin,6198322,8600,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,G,Brian Elliott (6198409),Brian Elliott,6198409,8400,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,LW,Jamie Benn (6198345),Jamie Benn,6198345,8400,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,G,Jake Allen (6198411),Jake Allen,6198411,7400,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,G,Frederik Andersen (6198418),Frederik Andersen,6198418,7400,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,G,Cam Talbot (6198417),Cam Talbot,6198417,7300,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,G,Kari Lehtonen (6198408),Kari Lehtonen,6198408,7200,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,RW,Vladimir Tarasenko (6198363),Vladimir Tarasenko,6198363,7200,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,G,John Gibson (6198419),John Gibson,6198419,7100,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,G,Antti Niemi (6198410),Antti Niemi,6198410,7000,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,C,Connor McDavid (6198341),Connor McDavid,6198341,7000,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,LW,Patrick Sharp (6198343),Patrick Sharp,6198343,6600,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,LW,Taylor Hall (6198355),Taylor Hall,6198355,6600,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,D,Kevin Shattenkirk (6198378),Kevin Shattenkirk,6198378,6500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,LW,Alexander Steen (6198342),Alexander Steen,6198342,6300,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,G,Anton Khudobin (6198415),Anton Khudobin,6198415,6300,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,John Klingberg (6198386),John Klingberg,6198386,6300,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,RW,Corey Perry (6198366),Corey Perry,6198366,6200,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,G,Dustin Tokarski (6198416),Dustin Tokarski,6198416,6100,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,C,Jason Spezza (6198314),Jason Spezza,6198314,6000,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,G,John Muse (6198412),John Muse,6198412,6000,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,G,Jordan Binnington (6198413),Jordan Binnington,6198413,6000,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,G,Laurent Brossoit (6198420),Laurent Brossoit,6198420,6000,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,G,Pheonix Copley (6198414),Pheonix Copley,6198414,6000,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,C,Ryan Getzlaf (6198330),Ryan Getzlaf,6198330,5800,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,Alex Pietrangelo (6198380),Alex Pietrangelo,6198380,5700,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,RW,Jordan Eberle (6198369),Jordan Eberle,6198369,5700,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,LW,Jaden Schwartz (6198347),Jaden Schwartz,6198347,5300,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,C,Ryan Kesler (6198329),Ryan Kesler,6198329,5000,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,Sami Vatanen (6198401),Sami Vatanen,6198401,5000,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,C,Leon Draisaitl (6198340),Leon Draisaitl,6198340,5000,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,LW,Benoit Pouliot (6198351),Benoit Pouliot,6198351,4800,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,C,Paul Stastny (6198318),Paul Stastny,6198318,4800,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,C,Ryan Nugent-Hopkins (6198338),Ryan Nugent-Hopkins,6198338,4800,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,C,David Backes (6198316),David Backes,6198316,4700,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,D,Colton Parayko (6198390),Colton Parayko,6198390,4700,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,D,Alex Goligoski (6198379),Alex Goligoski,6198379,4600,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,RW,Jakob Silfverberg (6198372),Jakob Silfverberg,6198372,4600,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,LW,David Perron (6198352),David Perron,6198352,4500,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,C,Rickard Rakell (6198339),Rickard Rakell,6198339,4500,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,Andrej Sekera (6198394),Andrej Sekera,6198394,4300,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,D,Hampus Lindholm (6198405),Hampus Lindholm,6198405,4200,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,RW,Patrick Eaves (6198359),Patrick Eaves,6198359,4000,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,RW,Chris Stewart (6198367),Chris Stewart,6198367,4000,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,Jason Demers (6198381),Jason Demers,6198381,4000,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,D,Cam Fowler (6198398),Cam Fowler,6198398,4000,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,Oscar Klefbom (6198402),Oscar Klefbom,6198402,4000,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,RW,Teddy Purcell (6198368),Teddy Purcell,6198368,3900,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,RW,Ales Hemsky (6198358),Ales Hemsky,6198358,3700,Dal@StL 08:00PM ET,Dal,
