"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14471-9524","PG","Stephen","Curry","46.9","40","11000","GS@CHI","GS","CHI","","","",""
"14471-12362","C","DeMarcus","Cousins","45","32","10700","SAC@LAL","SAC","LAL","","","",""
"14471-9642","PG","Russell","Westbrook","48.5","43","10500","CHA@OKC","OKC","CHA","","","",""
"14471-12332","PG","John","Wall","41.1","40","10200","MIA@WAS","WAS","MIA","","","",""
"14471-9646","SF","Kevin","Durant","44.1","36","9900","CHA@OKC","OKC","CHA","","","",""
"14471-9488","SF","LeBron","James","44","38","9800","CLE@BKN","CLE","BKN","","","",""
"14471-15860","PF","Draymond","Green","39.8","41","9400","GS@CHI","GS","CHI","","","",""
"14471-9644","SG","James","Harden","44.2","43","9300","DET@HOU","HOU","DET","","","",""
"14471-9535","PG","Kyle","Lowry","39.5","41","9200","BOS@TOR","TOR","BOS","","","",""
"14471-14528","SG","Jimmy","Butler","38","40","9100","GS@CHI","CHI","GS","","","",""
"14471-9570","PF","Pau","Gasol","38.2","38","9000","GS@CHI","CHI","GS","","","",""
"14471-20848","PG","Damian","Lillard","39.3","37","8800","ATL@POR","POR","ATL","","","",""
"14471-15557","C","Andre","Drummond","41.8","41","8800","DET@HOU","DET","HOU","","","",""
"14471-9729","PF","Paul","Millsap","38","42","8700","ATL@POR","ATL","POR","","","",""
"14471-9508","SF","Carmelo","Anthony","36.9","39","8700","UTA@NY","NY","UTA","","","",""
"14471-14507","PG","Kemba","Walker","35","41","8600","CHA@OKC","CHA","OKC","","","",""
"14471-9621","C","Brook","Lopez","35.3","42","8500","CLE@BKN","BKN","CLE","","","",""
"14471-9660","C","Dwight","Howard","34.8","36","8500","DET@HOU","HOU","DET","","","",""
"14471-14559","PG","Isaiah","Thomas","35.1","42","8400","BOS@TOR","BOS","TOR","","","",""
"14471-9714","SG","DeMar","DeRozan","34.9","41","8200","BOS@TOR","TOR","BOS","","","",""
"14471-9455","PG","Rajon","Rondo","36.9","38","8100","SAC@LAL","SAC","LAL","","","",""
