"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14484-12362","C","DeMarcus","Cousins","45.5","33","10700","ATL@SAC","SAC","ATL","","","",""
"14484-15755","PF","Anthony","Davis","43.5","36","10300","DET@NO","NO","DET","","","",""
"14484-9488","SF","LeBron","James","43.5","39","9800","LAC@CLE","CLE","LAC","","","",""
"14484-9623","PG","Chris","Paul","38.9","36","9800","LAC@CLE","LAC","CLE","","","",""
"14484-9560","PF","Blake","Griffin","41.3","30","9000","LAC@CLE","LAC","CLE","O","Quadriceps","",""
"14484-15557","C","Andre","Drummond","41.7","42","8800","DET@NO","DET","NO","","","",""
"14484-9729","PF","Paul","Millsap","38.1","43","8700","ATL@SAC","ATL","SAC","","","",""
"14484-9561","C","DeAndre","Jordan","34","39","8200","LAC@CLE","LAC","CLE","","","",""
"14484-9455","PG","Rajon","Rondo","36.9","39","8100","ATL@SAC","SAC","ATL","","","",""
"14484-9581","C","Marc","Gasol","33","43","8000","MEM@DEN","MEM","DEN","","","",""
"14484-14513","SF","Kawhi","Leonard","36.7","40","7600","SA@PHO","SA","PHO","","","",""
"14484-9453","C","Al","Horford","31.5","43","7600","ATL@SAC","ATL","SAC","","","",""
"14484-9577","SF","Rudy","Gay","30.8","39","7300","ATL@SAC","SAC","ATL","","","",""
"14484-14523","PG","Reggie","Jackson","33","42","7200","DET@NO","DET","NO","","","",""
"14484-14498","PG","Kyrie","Irving","24.8","14","7200","LAC@CLE","CLE","LAC","","","",""
"14484-9688","PF","LaMarcus","Aldridge","30","39","7200","SA@PHO","SA","PHO","","","",""
"14484-9637","SF","Danilo","Gallinari","30.8","36","7100","MEM@DEN","DEN","MEM","","","",""
"14484-9692","PG","Tyreke","Evans","32.4","22","7100","DET@NO","NO","DET","","","",""
"14484-9874","PF","Kevin","Love","33.1","40","6900","LAC@CLE","CLE","LAC","","","",""
"14484-9575","PG","Mike","Conley","28.9","37","6600","MEM@DEN","MEM","DEN","","","",""
"14484-9663","PG","Jrue","Holiday","25","35","6600","DET@NO","NO","DET","","","",""
"14484-14506","PG","Brandon","Knight","31.6","42","6500","SA@PHO","PHO","SA","","","",""
"14484-17333","SG","Will","Barton","27.8","42","6400","MEM@DEN","DEN","MEM","","","",""
"14484-14521","PF","Kenneth","Faried","26.3","36","6300","MEM@DEN","DEN","MEM","","","",""
"14484-9579","PF","Zach","Randolph","26.3","38","6300","MEM@DEN","MEM","DEN","","","",""
"14484-9702","PG","Tony","Parker","24.3","39","6000","SA@PHO","SA","PHO","O","Hip","",""
"14484-9710","C","Tim","Duncan","25.4","36","6000","SA@PHO","SA","PHO","","","",""
"14484-15636","SG","Kentavious","Caldwell-Pope","24.3","42","5900","DET@NO","DET","NO","","","",""
"14484-9598","PF","Ersan","Ilyasova","21.3","42","5800","DET@NO","DET","NO","","","",""
"14484-9446","PG","Jeff","Teague","26.7","40","5700","ATL@SAC","ATL","SAC","","","",""
"14484-9655","SG","J.J.","Redick","21.1","37","5600","LAC@CLE","LAC","CLE","","","",""
"14484-9772","PF","Ryan","Anderson","26.1","39","5500","DET@NO","NO","DET","","","",""
"14484-9960","SF","Omri","Casspi","22.9","36","5500","ATL@SAC","SAC","ATL","","","",""
"14484-9583","PG","Mario","Chalmers","20.6","34","5300","MEM@DEN","MEM","DEN","","","",""
"14484-14512","SF","Marcus","Morris","24.3","41","5200","DET@NO","DET","NO","","","",""
"14484-9624","PG","Darren","Collison","22.3","36","5200","ATL@SAC","SAC","ATL","","","",""
"14484-40201","PG","Dennis","Schroder","21.4","41","5200","ATL@SAC","ATL","SAC","","","",""
"14484-9652","PG","Jameer","Nelson","19.3","36","5100","MEM@DEN","DEN","MEM","GTD","Wrist","",""
"14484-9657","SF","Matt","Barnes","20","40","5100","MEM@DEN","MEM","DEN","","","",""
"14484-19781","SG","Kent","Bazemore","23.7","38","5000","ATL@SAC","ATL","SAC","","","",""
"14484-63124","PG","Emmanuel","Mudiay","22.8","28","5000","MEM@DEN","DEN","MEM","","","",""
"14484-9556","SG","Eric","Gordon","22.4","41","5000","DET@NO","NO","DET","O","Finger","",""
"14484-9506","SG","J.R.","Smith","19.5","36","4900","LAC@CLE","CLE","LAC","","","",""
