"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14647-12362","C","DeMarcus","Cousins","46.76904761904762","42","11100","SAC@CLE","SAC","CLE","","","",""
"14647-9642","PG","Russell","Westbrook","49.12692307692308","52","11100","OKC@PHO","OKC","PHO","","","",""
"14647-9646","SF","Kevin","Durant","45.41777777777778","45","10800","OKC@PHO","OKC","PHO","","","",""
"14647-15755","PF","Anthony","Davis","43.59318181818182","44","10300","NO@MIN","NO","MIN","","","",""
"14647-9488","SF","LeBron","James","44.11020408163265","49","10200","SAC@CLE","CLE","SAC","","","",""
"14647-9623","PG","Chris","Paul","39.20434782608696","46","9600","LAC@PHI","LAC","PHI","","","",""
"14647-20848","PG","Damian","Lillard","39.413333333333334","45","8900","POR@MEM","POR","MEM","","","",""
"14647-9535","PG","Kyle","Lowry","38.861999999999995","50","8800","TOR@DET","TOR","DET","","","",""
"14647-9570","C","Pau","Gasol","37.91702127659574","47","8800","CHI@CHA","CHI","CHA","","","",""
"14647-58462","C","Karl-Anthony","Towns","33.784615384615385","52","8800","NO@MIN","MIN","NO","","","",""
"14647-14528","SG","Jimmy","Butler","37.69375","48","8700","CHI@CHA","CHI","CHA","O","Knee","",""
"14647-12341","SF","Paul","George","38.63137254901961","51","8700","LAL@IND","IND","LAL","","","",""
"14647-9621","C","Brook","Lopez","35.75384615384615","52","8700","DEN@BKN","BKN","DEN","","","",""
"14647-9561","C","DeAndre","Jordan","34.587755102040816","49","8500","LAC@PHI","LAC","PHI","","","",""
"14647-9455","PG","Rajon","Rondo","37.22653061224489","49","8400","SAC@CLE","SAC","CLE","","","",""
"14647-14507","PG","Kemba","Walker","35.43","50","8400","CHI@CHA","CHA","CHI","","","",""
"14647-15557","C","Andre","Drummond","40.28653846153846","52","8300","TOR@DET","DET","TOR","","","",""
"14647-9714","SG","DeMar","DeRozan","35.084","50","8200","TOR@DET","TOR","DET","","","",""
"14647-9581","C","Marc","Gasol","33.21176470588235","51","7900","POR@MEM","MEM","POR","","","",""
"14647-9729","PF","Paul","Millsap","36.96153846153846","52","7800","ORL@ATL","ATL","ORL","","","",""
"14647-14514","C","Nikola","Vucevic","33.55106382978724","47","7800","ORL@ATL","ORL","ATL","","","",""
"14647-19067","SG","C.J.","McCollum","32.052","50","7500","POR@MEM","POR","MEM","","","",""
"14647-9874","PF","Kevin","Love","33.30612244897959","49","7500","SAC@CLE","CLE","SAC","GTD","Quadriceps","",""
"14647-14498","PG","Kyrie","Irving","27.679166666666664","24","7200","SAC@CLE","CLE","SAC","","","",""
"14647-9577","SF","Rudy","Gay","30.802272727272726","44","7200","SAC@CLE","SAC","CLE","O","Ankle","",""
"14647-9453","C","Al","Horford","31.224528301886796","53","7100","ORL@ATL","ATL","ORL","","","",""
"14647-9637","SF","Danilo","Gallinari","30.713043478260868","46","7100","DEN@BKN","DEN","BKN","","","",""
"14647-9663","PG","Jrue","Holiday","26.529545454545453","44","7000","NO@MIN","NO","MIN","","","",""
"14647-23825","PF","Nerlens","Noel","26.94888888888889","45","6900","LAC@PHI","PHI","LAC","","","",""
"14647-9475","PG","Derrick","Rose","26.472727272727273","44","6900","CHI@CHA","CHI","CHA","","","",""
"14647-14523","PG","Reggie","Jackson","31.871153846153845","52","6900","TOR@DET","DET","TOR","","","",""
"14647-14496","PG","Ricky","Rubio","30.11521739130435","46","6900","NO@MIN","MIN","NO","","","",""
"14647-12511","PG","Ishmael","Smith","32.757894736842104","19","6900","LAC@PHI","PHI","LAC","GTD","Ankle","",""
"14647-9666","PF","Thaddeus","Young","30.290384615384614","52","6900","DEN@BKN","BKN","DEN","","","",""
"14647-9566","SG","Kobe","Bryant","27.23953488372093","43","6800","LAL@IND","LAL","IND","","","",""
"14647-9809","SF","Nicolas","Batum","30.466666666666665","42","6700","CHI@CHA","CHA","CHI","","","",""
"14647-49116","SG","Andrew","Wiggins","28.63529411764706","51","6700","NO@MIN","MIN","NO","","","",""
"14647-9692","SG","Tyreke","Evans","31.471999999999998","25","6700","NO@MIN","NO","MIN","O","Knee","",""
"14647-9575","PG","Mike","Conley","28.95111111111111","45","6600","POR@MEM","MEM","POR","","","",""
"14647-15684","SG","Victor","Oladipo","27.630434782608695","46","6500","ORL@ATL","ORL","ATL","","","",""
"14647-9526","SG","Monta","Ellis","26.954901960784316","51","6500","LAL@IND","IND","LAL","","","",""
"14647-14506","PG","Brandon","Knight","31.592857142857145","42","6500","OKC@PHO","PHO","OKC","O","Groin","",""
"14647-14503","C","Jonas","Valanciunas","26.275757575757574","33","6400","TOR@DET","TOR","DET","","","",""
"14647-42669","PF","Julius","Randle","25.77692307692308","52","6400","LAL@IND","LAL","IND","GTD","Ankle","",""
"14647-55062","C","Nikola","Jokic","21.546","50","6400","DEN@BKN","DEN","BKN","","","",""
"14647-58083","C","Jahlil","Okafor","28.41333333333333","45","6300","LAC@PHI","PHI","LAC","","","",""
"14647-15771","C","Gorgui","Dieng","21.948076923076922","52","6100","NO@MIN","MIN","NO","","","",""
"14647-9446","PG","Jeff","Teague","26.72","50","6100","ORL@ATL","ATL","ORL","","","",""
"14647-14521","PF","Kenneth","Faried","26.131111111111114","45","6100","DEN@BKN","DEN","BKN","","","",""
"14647-9579","PF","Zach","Randolph","25.813043478260873","46","6000","POR@MEM","MEM","POR","","","",""
"14647-9451","PF","Marvin","Williams","23.27647058823529","51","5900","CHI@CHA","CHA","CHI","","","",""
"14647-17333","SG","Will","Barton","27.540384615384614","52","5900","DEN@BKN","DEN","BKN","","","",""
"14647-9772","PF","Ryan","Anderson","26.302083333333332","48","5800","NO@MIN","NO","MIN","","","",""
"14647-9703","PG","George","Hill","24.181818181818183","44","5800","LAL@IND","IND","LAL","","","",""
"14647-20640","PG","Jordan","Clarkson","24.28627450980392","51","5700","LAL@IND","LAL","IND","","","",""
"14647-58253","PF","Myles","Turner","18.93793103448276","29","5600","LAL@IND","IND","LAL","","","",""
"14647-15636","SG","Kentavious","Caldwell-Pope","24.046","50","5600","TOR@DET","DET","TOR","O","Groin","",""
"14647-9957","PF","Serge","Ibaka","25.73846153846154","52","5600","OKC@PHO","OKC","PHO","","","",""
"14647-9447","SG","Joe","Johnson","21.98846153846154","52","5600","DEN@BKN","BKN","DEN","","","",""
"14647-14511","PF","Markieff","Morris","20.85142857142857","35","5600","OKC@PHO","PHO","OKC","","","",""
"14647-9648","SF","Jeff","Green","21.150980392156864","51","5600","POR@MEM","MEM","POR","","","",""
"14647-14518","SF","Tobias","Harris","26.553061224489795","49","5500","ORL@ATL","ORL","ATL","O","Ankle","",""
"14647-15590","C","Mason","Plumlee","24.21923076923077","52","5500","POR@MEM","POR","MEM","GTD","Face","",""
"14647-9787","SF","DeMarre","Carroll","21.52173913043478","23","5400","TOR@DET","TOR","DET","O","Knee","",""
"14647-63124","PG","Emmanuel","Mudiay","23.586842105263155","38","5400","DEN@BKN","DEN","BKN","","","",""
"14647-15758","SF","Michael","Kidd-Gilchrist","22.7","5","5400","CHI@CHA","CHA","CHI","","","",""
"14647-9481","PF","Taj","Gibson","20.886","50","5400","CHI@CHA","CHI","CHA","","","",""
"14647-14512","SF","Marcus","Morris","23.890196078431373","51","5400","TOR@DET","DET","TOR","","","",""
"14647-9662","SG","Louis","Williams","23.386","50","5400","LAL@IND","LAL","IND","","","",""
"14647-58460","SG","Devin","Booker","15.299999999999999","46","5400","OKC@PHO","PHO","OKC","","","",""
"14647-9506","SG","J.R.","Smith","20.715217391304346","46","5300","SAC@CLE","CLE","SAC","","","",""
"14647-23824","PG","Archie","Goodwin","14.340625","32","5200","OKC@PHO","PHO","OKC","","","",""
"14647-19138","PG","Elfrid","Payton","24.27391304347826","46","5200","ORL@ATL","ORL","ATL","","","",""
"14647-14516","C","Enes","Kanter","21.957692307692305","52","5200","OKC@PHO","OKC","PHO","","","",""
"14647-9657","SF","Matt","Barnes","20.51063829787234","47","5200","POR@MEM","MEM","POR","","","",""
"14647-9960","SF","Omri","Casspi","22.643478260869564","46","5100","SAC@CLE","SAC","CLE","","","",""
"14647-19781","SF","Kent","Bazemore","23.589583333333334","48","5100","ORL@ATL","ATL","ORL","","","",""
"14647-14527","PG","Norris","Cole","18.633333333333333","33","5100","NO@MIN","NO","MIN","","","",""
"14647-12342","SF","Al-Farouq","Aminu","22.138461538461538","52","5100","POR@MEM","POR","MEM","","","",""
"14647-9556","SG","Eric","Gordon","22.40487804878049","41","5000","NO@MIN","NO","MIN","O","Finger","",""
"14647-58350","SF","Stanley","Johnson","16.767307692307693","52","4900","TOR@DET","DET","TOR","","","",""
"14647-41594","PF","Aaron","Gordon","18.585714285714285","49","4900","ORL@ATL","ORL","ATL","","","",""
"14647-12443","SG","Jeremy","Lin","21.645833333333332","48","4900","CHI@CHA","CHA","CHI","","","",""
"14647-58312","PG","D'Angelo","Russell","21.466666666666665","51","4800","LAL@IND","LAL","IND","","","",""
"14647-9448","SG","Jamal","Crawford","18.427450980392155","51","4800","LAC@PHI","LAC","PHI","","","",""
"14647-14522","SF","Nikola","Mirotic","21.229545454545452","44","4800","CHI@CHA","CHI","CHA","O","Illness","",""
"14647-9598","PF","Ersan","Ilyasova","20.73921568627451","51","4800","TOR@DET","DET","TOR","","","",""
"14647-9583","PG","Mario","Chalmers","20.40952380952381","42","4800","POR@MEM","MEM","POR","","","",""
"14647-9624","PG","Darren","Collison","21.847826086956523","46","4800","SAC@CLE","SAC","CLE","","","",""
"14647-40783","SG","Zach","LaVine","20.76153846153846","52","4800","NO@MIN","MIN","NO","","","",""
"14647-9655","SG","J.J.","Redick","20.45744680851064","47","4800","LAC@PHI","LAC","PHI","","","",""
"14647-20491","SF","Robert","Covington","22.166666666666668","42","4800","LAC@PHI","PHI","LAC","","","",""
"14647-40201","PG","Dennis","Schroder","20.88235294117647","51","4800","ORL@ATL","ATL","ORL","GTD","Face","",""
"14647-9752","C","Jordan","Hill","20.559574468085106","47","4700","LAL@IND","IND","LAL","","","",""
"14647-23407","SF","P.J.","Tucker","18.2","52","4700","OKC@PHO","PHO","OKC","","","",""
"14647-23831","PF","Jerami","Grant","20.091836734693878","49","4700","LAC@PHI","PHI","LAC","","","",""
"14647-9953","C","Ian","Mahinmi","21.42142857142857","42","4700","LAL@IND","IND","LAL","","","",""
"14647-15691","PF","Cody","Zeller","19.697674418604652","43","4700","CHI@CHA","CHA","CHI","","","",""
"14647-9473","C","Tyson","Chandler","18.251162790697673","43","4700","OKC@PHO","PHO","OKC","","","",""
"14647-9652","PG","Jameer","Nelson","18.810526315789474","38","4700","DEN@BKN","DEN","BKN","O","Wrist","",""
"14647-24544","SG","Gary","Harris","18.41086956521739","46","4600","DEN@BKN","DEN","BKN","","","",""
"14647-23096","SG","Evan","Fournier","22.035999999999998","50","4600","ORL@ATL","ORL","ATL","","","",""
"14647-14501","PF","Tristan","Thompson","20.708000000000002","50","4600","SAC@CLE","CLE","SAC","","","",""
"14647-15814","C","Alex","Len","16.916326530612245","49","4500","OKC@PHO","PHO","OKC","","","",""
"14647-23169","C","Steven","Adams","18.105999999999998","50","4400","OKC@PHO","OKC","PHO","","","",""
