"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14547-12362","C","DeMarcus","Cousins","46.6","37","11200","SAC@NO","SAC","NO","","","",""
"14547-15755","PF","Anthony","Davis","43","39","10000","SAC@NO","NO","SAC","GTD","Concussion","",""
"14547-12332","PG","John","Wall","40.5","43","9600","DEN@WAS","WAS","DEN","","","",""
"14547-9729","PF","Paul","Millsap","38.4","46","8900","ATL@IND","ATL","IND","","","",""
"14547-12341","SF","Paul","George","39.2","45","8900","ATL@IND","IND","ATL","","","",""
"14547-9535","PG","Kyle","Lowry","38.9","45","8800","NY@TOR","TOR","NY","GTD","Wrist","",""
"14547-9508","SF","Carmelo","Anthony","36.6","42","8800","NY@TOR","NY","TOR","O","Knee","",""
"14547-14528","SG","Jimmy","Butler","37.6","44","8700","CHI@LAL","CHI","LAL","","","",""
"14547-9570","C","Pau","Gasol","37.7","42","8700","CHI@LAL","CHI","LAL","","","",""
"14547-9455","PG","Rajon","Rondo","37.2","43","8500","SAC@NO","SAC","NO","","","",""
"14547-9714","SG","DeMar","DeRozan","35","45","8200","NY@TOR","TOR","NY","","","",""
"14547-12337","C","Greg","Monroe","33.4","45","8000","MIL@MEM","MIL","MEM","","","",""
"14547-9581","C","Marc","Gasol","33.2","46","8000","MIL@MEM","MEM","MIL","","","",""
"14547-16261","SG","Khris","Middleton","29","47","7600","MIL@MEM","MIL","MEM","","","",""
"14547-9577","SF","Rudy","Gay","30.9","40","7500","SAC@NO","SAC","NO","O","Eye","",""
"14547-40199","SF","Giannis","Antetokounmpo","30.3","45","7500","MIL@MEM","MIL","MEM","","","",""
"14547-9453","C","Al","Horford","31.5","47","7500","ATL@IND","ATL","IND","","","",""
"14547-9661","C","Marcin","Gortat","29.9","37","7000","DEN@WAS","WAS","DEN","","","",""
"14547-63122","PF","Kristaps","Porzingis","28.9","47","6900","NY@TOR","NY","TOR","","","",""
"14547-9637","SF","Danilo","Gallinari","30.6","40","6900","DEN@WAS","DEN","WAS","","","",""
"14547-9575","PG","Mike","Conley","29.1","40","6800","MIL@MEM","MEM","MIL","","","",""
"14547-9663","PG","Jrue","Holiday","25.8","38","6800","SAC@NO","NO","SAC","","","",""
"14547-9692","SG","Tyreke","Evans","31.5","25","6700","SAC@NO","NO","SAC","GTD","Knee","",""
"14547-14503","C","Jonas","Valanciunas","26.6","28","6400","NY@TOR","TOR","NY","","","",""
"14547-16201","PG","Michael","Carter-Williams","27.8","42","6400","MIL@MEM","MIL","MEM","","","",""
"14547-15595","SG","Brad","Beal","28.2","22","6300","DEN@WAS","WAS","DEN","GTD","Concussion","",""
"14547-17333","SG","Will","Barton","27.7","46","6200","DEN@WAS","DEN","WAS","","","",""
"14547-9526","SG","Monta","Ellis","26.3","45","6200","ATL@IND","IND","ATL","","","",""
"14547-14521","PF","Kenneth","Faried","26.5","39","6100","DEN@WAS","DEN","WAS","","","",""
"14547-15628","SF","Otto","Porter","25.4","36","6100","DEN@WAS","WAS","DEN","","","",""
"14547-9579","PF","Zach","Randolph","26","41","6000","MIL@MEM","MEM","MIL","","","",""
"14547-9475","PG","Derrick","Rose","25","38","5800","CHI@LAL","CHI","LAL","","","",""
"14547-42669","PF","Julius","Randle","25.1","46","5800","CHI@LAL","LAL","CHI","","","",""
"14547-9772","PF","Ryan","Anderson","26.2","42","5700","SAC@NO","NO","SAC","","","",""
"14547-20640","PG","Jordan","Clarkson","24.2","45","5700","CHI@LAL","LAL","CHI","","","",""
"14547-9662","SG","Louis","Williams","23.7","45","5700","CHI@LAL","LAL","CHI","GTD","Illness","",""
"14547-9566","SG","Kobe","Bryant","25.7","38","5600","CHI@LAL","LAL","CHI","","","",""
"14547-9703","PG","George","Hill","23.8","38","5600","ATL@IND","IND","ATL","","","",""
"14547-9446","PG","Jeff","Teague","26.2","44","5500","ATL@IND","ATL","IND","","","",""
"14547-9787","SF","DeMarre","Carroll","21.5","23","5400","NY@TOR","TOR","NY","O","Knee","",""
"14547-42550","PF","Jabari","Parker","20.4","41","5300","MIL@MEM","MIL","MEM","","","",""
"14547-55062","C","Nikola","Jokic","19.8","44","5300","DEN@WAS","DEN","WAS","GTD","Knee","",""
"14547-40201","PG","Dennis","Schroder","21.4","45","5300","ATL@IND","ATL","IND","","","",""
"14547-19781","SG","Kent","Bazemore","23.5","42","5200","ATL@IND","ATL","IND","","","",""
"14547-9960","SF","Omri","Casspi","22.8","40","5200","SAC@NO","SAC","NO","","","",""
"14547-63124","PG","Emmanuel","Mudiay","22.8","32","5100","DEN@WAS","DEN","WAS","","","",""
"14547-58312","PG","D'Angelo","Russell","21.9","45","5100","CHI@LAL","LAL","CHI","","","",""
"14547-9583","PG","Mario","Chalmers","20.5","37","5100","MIL@MEM","MEM","MIL","","","",""
"14547-9648","SF","Jeff","Green","20.2","46","5100","MIL@MEM","MEM","MIL","","","",""
"14547-9652","PG","Jameer","Nelson","19.3","36","5100","DEN@WAS","DEN","WAS","GTD","Wrist","",""
"14547-9507","SG","Arron","Afflalo","21.1","39","5000","NY@TOR","NY","TOR","","","",""
"14547-9556","SG","Eric","Gordon","22.4","41","5000","SAC@NO","NO","SAC","O","Finger","",""
"14547-58253","PF","Myles","Turner","16.7","23","5000","ATL@IND","IND","ATL","","","",""
"14547-9657","SF","Matt","Barnes","20.1","43","5000","MIL@MEM","MEM","MIL","","","",""
"14547-9953","C","Ian","Mahinmi","21.8","40","5000","ATL@IND","IND","ATL","","","",""
"14547-14500","PF","Derrick","Williams","15.6","46","4900","NY@TOR","NY","TOR","","","",""
"14547-9873","C","Robin","Lopez","19.8","47","4900","NY@TOR","NY","TOR","","","",""
"14547-9481","PF","Taj","Gibson","20","44","4800","CHI@LAL","CHI","LAL","","","",""
"14547-14522","SF","Nikola","Mirotic","21.2","44","4800","CHI@LAL","CHI","LAL","O","Illness","",""
"14547-24544","SG","Gary","Harris","18.7","40","4700","DEN@WAS","DEN","WAS","","","",""
"14547-9624","PG","Darren","Collison","21.6","40","4600","SAC@NO","SAC","NO","","","",""
"14547-9458","SG","Tony","Allen","16.6","39","4600","MIL@MEM","MEM","MIL","","","",""
"14547-23823","PF","Willie","Cauley-Stein","16.6","31","4500","SAC@NO","SAC","NO","","","",""
"14547-11074","SG","Garrett","Temple","15.6","41","4400","DEN@WAS","WAS","DEN","","","",""
"14547-9712","PG","Jose","Calderon","18.2","47","4400","NY@TOR","NY","TOR","GTD","Groin","",""
"14547-9512","PF","Nene","Hilario","17.9","22","4300","DEN@WAS","WAS","DEN","","","",""
"14547-14527","PG","Norris","Cole","16.5","27","4300","SAC@NO","NO","SAC","","","",""
"14547-9647","SF","Thabo","Sefolosha","17.4","41","4300","ATL@IND","ATL","IND","","","",""
"14547-9514","SG","Rodney","Stuckey","18.3","33","4200","ATL@IND","IND","ATL","O","Ankle","",""
"14547-14505","C","Bismack","Biyombo","18.2","45","4200","NY@TOR","TOR","NY","","","",""
