"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14895-9524","PG","Stephen","Curry","47.9","58","10900","ORL@GS","GS","ORL","","","",""
"14895-12362","C","DeMarcus","Cousins","47.25192307692308","52","10700","SAC@NO","SAC","NO","","","",""
"14895-9488","SF","LeBron","James","44.574576271186444","59","10100","MEM@CLE","CLE","MEM","","","",""
"14895-9623","PG","Chris","Paul","41.105357142857144","56","10000","LAC@DAL","LAC","DAL","","","",""
"14895-15755","PF","Anthony","Davis","43.983333333333334","54","9900","SAC@NO","NO","SAC","","","",""
"14895-9570","C","Pau","Gasol","38.92758620689656","58","9200","MIL@CHI","CHI","MIL","","","",""
"14895-12341","SF","Paul","George","39.22539682539682","63","9000","SA@IND","IND","SA","","","",""
"14895-58462","C","Karl-Anthony","Towns","35.13650793650793","63","8900","MIN@CHA","MIN","CHA","","","",""
"14895-14528","SG","Jimmy","Butler","37.80612244897959","49","8700","MIL@CHI","CHI","MIL","O","Knee","",""
"14895-14507","PG","Kemba","Walker","36.318333333333335","60","8700","MIN@CHA","CHA","MIN","","","",""
"14895-40199","SF","Giannis","Antetokounmpo","33.22295081967213","61","8700","MIL@CHI","MIL","CHI","","","",""
"14895-15860","PF","Draymond","Green","38.690000000000005","60","8600","ORL@GS","GS","ORL","GTD","Illness","",""
"14895-9455","PG","Rajon","Rondo","37.758620689655174","58","8600","SAC@NO","SAC","NO","GTD","Finger","",""
"14895-14513","SF","Kawhi","Leonard","36.87543859649123","57","8600","SA@IND","SA","IND","","","",""
"14895-9561","C","DeAndre","Jordan","35.320338983050846","59","8300","LAC@DAL","LAC","DAL","","","",""
"14895-14514","C","Nikola","Vucevic","34.63620689655173","58","8000","ORL@GS","ORL","GS","","","",""
"14895-16261","SG","Khris","Middleton","30.522222222222222","63","7900","MIL@CHI","MIL","CHI","","","",""
"14895-9663","PG","Jrue","Holiday","28.818181818181817","55","7400","SAC@NO","NO","SAC","","","",""
"14895-9688","PF","LaMarcus","Aldridge","30.93333333333333","57","7400","SA@IND","SA","IND","","","",""
"14895-12337","C","Greg","Monroe","32.91311475409836","61","7200","MIL@CHI","MIL","CHI","","","",""
