"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14903-12332","PG","John","Wall","42.012903225806454","62","9600","WAS@POR","WAS","POR","","","",""
"14903-20848","PG","Damian","Lillard","40.47192982456141","57","9200","WAS@POR","POR","WAS","","","",""
"14903-14514","C","Nikola","Vucevic","34.63620689655173","58","8000","ORL@LAL","ORL","LAL","GTD","Groin","",""
"14903-9661","C","Marcin","Gortat","30.54642857142857","56","7000","WAS@POR","WAS","POR","","","",""
"14903-19067","SG","C.J.","McCollum","31.9","62","6900","WAS@POR","POR","WAS","","","",""
"14903-15684","SG","Victor","Oladipo","28.443859649122807","57","6600","ORL@LAL","ORL","LAL","","","",""
"14903-42669","PF","Julius","Randle","26.085714285714285","63","6200","ORL@LAL","LAL","ORL","","","",""
"14903-20640","SG","Jordan","Clarkson","25.095081967213115","61","6000","ORL@LAL","LAL","ORL","","","",""
"14903-41594","PF","Aaron","Gordon","20.89016393442623","61","6000","ORL@LAL","ORL","LAL","","","",""
"14903-58312","PG","D'Angelo","Russell","22.87258064516129","62","5900","ORL@LAL","LAL","ORL","","","",""
"14903-9566","SG","Kobe","Bryant","26.545098039215684","51","5700","ORL@LAL","LAL","ORL","O","Shoulder","",""
"14903-19138","PG","Elfrid","Payton","24.67241379310345","58","5600","ORL@LAL","ORL","LAL","","","",""
"14903-23096","SG","Evan","Fournier","22.864406779661017","59","5300","ORL@LAL","ORL","LAL","","","",""
"14903-15595","SG","Brad","Beal","26.17560975609756","41","5200","WAS@POR","WAS","POR","O","Pelvis","",""
"14903-14511","PF","Markieff","Morris","21.47446808510638","47","5100","WAS@POR","WAS","POR","","","",""
"14903-9662","SG","Louis","Williams","23.16896551724138","58","4900","ORL@LAL","LAL","ORL","O","Hamstring","",""
"14903-15590","C","Mason","Plumlee","23.6328125","64","4800","WAS@POR","POR","WAS","","","",""
"14903-9598","PF","Ersan","Ilyasova","20.41774193548387","62","4500","ORL@LAL","ORL","LAL","","","",""
"14903-15628","SF","Otto","Porter","22.938181818181818","55","4400","WAS@POR","WAS","POR","","","",""
"14903-12342","SF","Al-Farouq","Aminu","20.9890625","64","4100","WAS@POR","POR","WAS","","","",""
"14903-12365","PF","Ed","Davis","18.977777777777778","63","4000","WAS@POR","POR","WAS","","","",""
"14903-63123","SF","Mario","Hezonja","9.672881355932205","59","3900","ORL@LAL","ORL","LAL","","","",""
"14903-9659","PF","Brandon","Bass","15.771428571428572","56","3900","ORL@LAL","LAL","ORL","","","",""
"14903-9512","PF","Nene","Hilario","17.586842105263155","38","3900","WAS@POR","WAS","POR","","","",""
"14903-9677","PF","Jared","Dudley","17.736065573770492","61","3900","WAS@POR","WAS","POR","","","",""
"14903-66521","PG","Marcelo","Huertas","9.282857142857143","35","3800","ORL@LAL","LAL","ORL","","","",""
"14903-9951","SG","Gerald","Henderson","13.629090909090909","55","3800","WAS@POR","POR","WAS","","","",""
"14903-11074","SG","Garrett","Temple","14.738333333333333","60","3600","WAS@POR","WAS","POR","","","",""
"14903-9737","SG","Nick","Young","11.069811320754718","53","3600","ORL@LAL","LAL","ORL","","","",""
"14903-16178","SF","Maurice","Harkless","11.799999999999999","61","3600","WAS@POR","POR","WAS","","","",""
"14903-21665","SG","Alan","Anderson","15.419999999999998","5","3600","WAS@POR","WAS","POR","","","",""
"14903-20992","PF","Larry","Nance Jr.","13.877083333333331","48","3500","ORL@LAL","LAL","ORL","","","",""
"14903-9503","PF","Drew","Gooden","7.839285714285714","28","3500","WAS@POR","WAS","POR","","","",""
"14903-42661","PF","Noah","Vonleh","10.041666666666666","60","3500","WAS@POR","POR","WAS","","","",""
"14903-18702","C","Robert","Sacre","7.057894736842105","19","3500","ORL@LAL","LAL","ORL","","","",""
"14903-9491","PF","J.J.","Hickson","13.286956521739132","23","3500","WAS@POR","WAS","POR","","","",""
"14903-17332","C","Tarik","Black","9.592307692307692","26","3500","ORL@LAL","LAL","ORL","","","",""
"14903-9605","PG","Ramon","Sessions","16.73548387096774","62","3500","WAS@POR","WAS","POR","","","",""
"14903-15669","C","Meyers","Leonard","16.03157894736842","57","3500","WAS@POR","POR","WAS","","","",""
"14903-16301","C","Dewayne","Dedmon","9.074358974358974","39","3500","ORL@LAL","ORL","LAL","","","",""
"14903-9525","PG","C.J.","Watson","10.8","18","3500","ORL@LAL","ORL","LAL","","","",""
"14903-16059","SG","Jared","Cunningham","4.4325","40","3500","ORL@LAL","ORL","LAL","","","",""
"14903-23220","SF","Chris","Copeland","3.1875","24","3500","ORL@LAL","ORL","LAL","","","",""
"14903-16188","SF","Anthony","Brown","8.637931034482758","29","3500","ORL@LAL","LAL","ORL","O","Foot","",""
"14903-23757","PG","Brian","Roberts","7.138888888888889","36","3500","WAS@POR","POR","WAS","","","",""
"14903-15501","SG","Allen","Crabbe","16.739682539682537","63","3500","WAS@POR","POR","WAS","","","",""
"14903-9563","C","Chris","Kaman","4.14","10","3500","WAS@POR","POR","WAS","","","",""
"14903-9553","C","Roy","Hibbert","16.936507936507937","63","3500","ORL@LAL","LAL","ORL","","","",""
"14903-9669","PF","Jason","Smith","11.910714285714286","56","3500","ORL@LAL","ORL","LAL","","","",""
"14903-58153","SF","Kelly","Oubre","6.96530612244898","49","3500","WAS@POR","WAS","POR","","","",""
"14903-16071","PG","Tim","Frazier","4.451428571428572","35","3500","WAS@POR","POR","WAS","","","",""
"14903-15587","SF","Ryan","Kelly","11.22272727272727","22","3500","ORL@LAL","LAL","ORL","","","",""
"14903-58150","PF","Cliff","Alexander","3.1714285714285713","7","3500","WAS@POR","POR","WAS","","","",""
"14903-15993","SG","Pat","Connaughton","1.7039999999999997","25","3500","WAS@POR","POR","WAS","","","",""
"14903-9593","PG","Brandon","Jennings","14.442424242424243","33","3500","ORL@LAL","ORL","LAL","","","",""
"14903-16363","SG","Joe","Harris","1.72","5","3500","ORL@LAL","ORL","LAL","O","Foot","",""
"14903-63477","SF","Luis","Montero","2.1285714285714286","7","3500","WAS@POR","POR","WAS","","","",""
"14903-16375","SG","Jarell","Eddie","3.5157894736842104","19","3500","WAS@POR","WAS","POR","","","",""
"14903-17218","PF","Andrew","Nicholson","10.382499999999999","40","3500","ORL@LAL","ORL","LAL","","","",""
"14903-12445","SG","Gary","Neal","14.3275","40","3500","WAS@POR","WAS","POR","GTD","Thigh","",""
