"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14557-14185","QB","Cam","Newton","24.9","16","9200","CAR@DEN","CAR","DEN","","","",""
"14557-6914","TE","Greg","Olsen","11.8","16","8000","CAR@DEN","CAR","DEN","","","",""
"14557-11432","WR","Demaryius","Thomas","13.4","16","8000","CAR@DEN","DEN","CAR","","","",""
"14557-6661","QB","Peyton","Manning","10.8","10","7700","CAR@DEN","DEN","CAR","P","Foot","",""
"14557-11505","WR","Emmanuel","Sanders","12.4","15","7700","CAR@DEN","DEN","CAR","","","",""
"14557-31360","WR","Odell","Beckham Jr.","18.1","15","7300","RIC@IRV","RIC","IRV","","","",""
"14557-14190","WR","Julio","Jones","19.2","16","7200","RIC@IRV","IRV","RIC","","","",""
"14557-22015","QB","Russell","Wilson","21.5","16","7100","RIC@IRV","IRV","RIC","","","",""
"14557-16606","WR","DeAndre","Hopkins","17.2","16","7100","RIC@IRV","IRV","RIC","","","",""
"14557-6826","QB","Eli","Manning","18.8","16","7000","RIC@IRV","RIC","IRV","","","",""
"14557-14377","QB","Tyrod","Taylor","19.8","14","7000","RIC@IRV","RIC","IRV","","","",""
"14557-14187","WR","A.J.","Green","14.4","16","7000","RIC@IRV","IRV","RIC","","","",""
"14557-28643","WR","Allen","Robinson","16.5","16","6900","RIC@IRV","IRV","RIC","","","",""
"14557-6627","WR","Ted","Ginn Jr.","11.6","14","6900","CAR@DEN","CAR","DEN","","","",""
"14557-6733","RB","Jonathan","Stewart","11.9","13","6700","CAR@DEN","CAR","DEN","Q","Ankle","",""
"14557-45859","QB","Derek","Carr","17.8","16","6700","RIC@IRV","RIC","IRV","","","",""
"14557-29249","RB","C.J.","Anderson","8.6","15","6500","CAR@DEN","DEN","CAR","","","",""
"14557-24849","QB","Jameis","Winston","18.1","16","6500","RIC@IRV","IRV","RIC","","","",""
"14557-33259","QB","Teddy","Bridgewater","13.1","16","6500","RIC@IRV","IRV","RIC","","","",""
"14557-22003","RB","Ronnie","Hillman","9.3","16","6400","CAR@DEN","DEN","CAR","","","",""
"14557-6682","TE","Owen","Daniels","5.8","16","6400","CAR@DEN","DEN","CAR","P","Knee","",""
"14557-6863","TE","Delanie","Walker","13.2","15","6300","RIC@IRV","IRV","RIC","","","",""
"14557-31001","WR","Amari","Cooper","11","16","6300","RIC@IRV","RIC","IRV","","","",""
"14557-28080","WR","Devin","Funchess","5.7","16","6200","CAR@DEN","CAR","DEN","","","",""
"14557-31394","WR","Jarvis","Landry","13.8","16","6200","RIC@IRV","RIC","IRV","","","",""
"14557-6422","TE","Gary","Barnidge","12.4","16","6100","RIC@IRV","RIC","IRV","","","",""
"14557-21994","QB","Brock","Osweiler","15.3","8","6000","CAR@DEN","DEN","CAR","","","",""
"14557-33557","TE","Tyler","Eifert","12.7","13","6000","RIC@IRV","IRV","RIC","","","",""
"14557-22031","WR","T.Y.","Hilton","11.1","16","6000","RIC@IRV","RIC","IRV","","","",""
"14557-33076","TE","Travis","Kelce","9.6","16","5800","RIC@IRV","RIC","IRV","","","",""
"14557-28486","WR","Corey (Philly)","Brown","6.3","14","5800","CAR@DEN","CAR","DEN","P","Ankle","",""
"14557-12553","D","Carolina","Panthers","10.7","16","5800","CAR@DEN","CAR","DEN","","","",""
"14557-6703","RB","Adrian","Peterson","15.4","16","5500","RIC@IRV","RIC","IRV","","","",""
"14557-30447","RB","Todd","Gurley","15.2","13","5500","RIC@IRV","IRV","RIC","P","Foot","",""
"14557-24920","RB","Devonta","Freeman","18.7","15","5400","RIC@IRV","IRV","RIC","","","",""
"14557-12531","D","Denver","Broncos","11.2","16","5300","CAR@DEN","DEN","CAR","","","",""
"14557-21970","RB","Doug","Martin","13.5","16","5300","RIC@IRV","RIC","IRV","","","",""
"14557-6688","WR","Jerricho","Cotchery","6.3","14","5100","CAR@DEN","CAR","DEN","","","",""
"14557-11864","RB","Christopher","Ivory","12.5","15","5100","RIC@IRV","RIC","IRV","","","",""
"14557-11615","QB","Joe","Webb","0","5","5000","CAR@DEN","CAR","DEN","","","",""
"14557-6373","QB","Derek","Anderson","0.4","3","5000","CAR@DEN","CAR","DEN","","","",""
"14557-27050","WR","Tyler","Lockett","8.7","16","5000","RIC@IRV","RIC","IRV","","","",""
"14557-34331","RB","Latavius","Murray","11.5","16","5000","RIC@IRV","IRV","RIC","","","",""
"14557-10744","K","Graham","Gano","10.2","16","4900","CAR@DEN","CAR","DEN","","","",""
"14557-6870","TE","Vernon","Davis","4.7","6","4900","CAR@DEN","DEN","CAR","","","",""
"14557-26247","K","Brandon","McManus","8.8","16","4800","CAR@DEN","DEN","CAR","","","",""
"14557-14952","K","Dan","Bailey","8.2","16","4700","RIC@IRV","IRV","RIC","","","",""
"14557-6522","K","Josh","Brown","9.3","16","4700","RIC@IRV","RIC","IRV","","","",""
"14557-27771","WR","Cody","Latimer","2.1","7","4700","CAR@DEN","DEN","CAR","","","",""
"14557-28157","WR","Bennie","Fowler","2.2","13","4600","CAR@DEN","DEN","CAR","","","",""
"14557-38269","RB","Cameron","Artis-Payne","5.4","6","4500","CAR@DEN","CAR","DEN","","","",""
"14557-24797","RB","Juwan","Thompson","1.6","8","4500","CAR@DEN","DEN","CAR","","","",""
"14557-22235","RB","Jeremy","Stewart","0","0","4500","CAR@DEN","DEN","CAR","","","",""
"14557-6951","TE","James","Casey","0","3","4500","CAR@DEN","DEN","CAR","","","",""
"14557-7244","RB","John","Kuhn","2.3","10","4500","RIC@IRV","RIC","IRV","","","",""
"14557-30259","WR","Solomon","Patton","0","0","4500","CAR@DEN","DEN","CAR","","","",""
"14557-14683","RB","Patrick","DiMarco","3","10","4500","RIC@IRV","IRV","RIC","","","",""
"14557-37245","RB","Foswhitt","Whittaker","2.1","14","4500","CAR@DEN","CAR","DEN","Q","Ankle","",""
"14557-14394","TE","Virgil","Green","2.7","11","4500","CAR@DEN","DEN","CAR","","","",""
"14557-10531","WR","Jordan","Norwood","3.2","10","4500","CAR@DEN","DEN","CAR","","","",""
"14557-7972","RB","Darren","Sproles","8.4","16","4500","RIC@IRV","IRV","RIC","","","",""
"14557-7975","RB","Mike","Tolbert","4.6","16","4500","CAR@DEN","CAR","DEN","Q","Knee","",""
"14557-6753","WR","Andre","Caldwell","2","12","4500","CAR@DEN","DEN","CAR","","","",""
"14557-11488","TE","Ed","Dickson","2.8","14","4500","CAR@DEN","CAR","DEN","","","",""
"14557-7718","RB","Cedric","Peerman","0","4","4500","RIC@IRV","RIC","IRV","","","",""
"14557-12915","D","Team Rice","All-Pros","0","0","4000","RIC@IRV","RIC","IRV","","","",""
"14557-12916","D","Team Irvin","All-Pros","0","0","4000","RIC@IRV","IRV","RIC","","","",""
