"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14722-8553","G","Brian","Elliott","4.780645161290323","31","9000","LA@STL","STL","LA","","","",""
"14722-8193","G","Tuukka","Rask","4.572093023255815","43","8800","BOS@NSH","BOS","NSH","","","",""
"14722-8986","LW","Jamie","Benn","4.630172413793104","58","8800","DAL@ARI","DAL","ARI","","","",""
"14722-11133","G","Carter","Hutton","5.180000000000001","10","8600","BOS@NSH","NSH","BOS","","","",""
"14722-23072","G","Frederik","Andersen","3.84375","32","8300","ANH@VAN","ANH","VAN","","","",""
"14722-8172","G","Kari","Lehtonen","4.333333333333333","27","8200","DAL@ARI","DAL","ARI","","","",""
"14722-8212","G","Ryan","Miller","4.108108108108108","37","8200","ANH@VAN","VAN","ANH","","","",""
"14722-8763","LW","Brad","Marchand","4.278846153846154","52","8200","BOS@NSH","BOS","NSH","","","",""
"14722-8412","G","Jon","Quick","4.746666666666667","45","8200","LA@STL","LA","STL","","","",""
"14722-8134","C","Ryan","Getzlaf","3.1846153846153844","52","8100","ANH@VAN","ANH","VAN","","","",""
"14722-23071","RW","Vladimir","Tarasenko","3.969298245614035","57","7800","LA@STL","STL","LA","","","",""
"14722-15268","G","John","Gibson","4.2250000000000005","24","7700","ANH@VAN","ANH","VAN","","","",""
"14722-8478","LW","Zach","Parise","3.3208333333333333","48","7700","MIN@EDM","MIN","EDM","","","",""
"14722-12417","C","Tyler","Seguin","4.658620689655172","58","7700","DAL@ARI","DAL","ARI","","","",""
"14722-64102","C","Connor","McDavid","3.7","21","7600","MIN@EDM","EDM","MIN","","","",""
"14722-14466","G","Darcy","Kuemper","3.773333333333334","15","7600","MIN@EDM","MIN","EDM","","","",""
"14722-9288","G","Antti","Niemi","4.1891891891891895","37","7500","DAL@ARI","DAL","ARI","","","",""
"14722-8432","G","Niklas","Backstrom","0","0","7500","MIN@EDM","MIN","EDM","","","",""
"14722-9005","G","Jhonas","Enroth","4.166666666666667","12","7500","LA@STL","LA","STL","","","",""
"14722-8142","RW","Corey","Perry","3.2723214285714284","56","7400","ANH@VAN","ANH","VAN","","","",""
"14722-8175","C","Patrice","Bergeron","4.1427272727272735","55","7400","BOS@NSH","BOS","NSH","","","",""
"14722-12592","C","Ryan","Johansen","3.05","55","7400","BOS@NSH","NSH","BOS","","","",""
"14722-8394","C","Anze","Kopitar","3.5892857142857144","56","7400","LA@STL","LA","STL","","","",""
"14722-9366","G","Dustin","Tokarski","1.3666666666666665","6","7400","ANH@VAN","ANH","VAN","","","",""
"14722-8920","G","Devan","Dubnyk","4.32","45","7400","MIN@EDM","MIN","EDM","","","",""
"14722-11301","G","Cameron","Talbot","3.8055555555555554","36","7400","MIN@EDM","EDM","MIN","","","",""
"14722-8698","LW","Daniel","Sedin","3.8660714285714284","56","7400","ANH@VAN","VAN","ANH","","","",""
"14722-39253","LW","Filip","Forsberg","2.92280701754386","57","7300","BOS@NSH","NSH","BOS","","","",""
"14722-8893","G","Anton","Khudobin","3.3000000000000003","8","7200","ANH@VAN","ANH","VAN","","","",""
"14722-8472","G","Pekka","Rinne","3.5217391304347827","46","7200","BOS@NSH","NSH","BOS","","","",""
"14722-8672","G","Mike","Smith","3.6727272727272733","22","7100","DAL@ARI","ARI","DAL","IR","Lower body","",""
"14722-12410","LW","Taylor","Hall","3.7879310344827584","58","7000","MIN@EDM","EDM","MIN","","","",""
"14722-11184","G","Richard","Bachman","5.6000000000000005","1","7000","ANH@VAN","VAN","ANH","","","",""
"14722-8293","G","Peter","Budaj","3.8000000000000007","1","6900","LA@STL","LA","STL","","","",""
"14722-14483","G","Louis","Domingue","4.4","23","6900","DAL@ARI","ARI","DAL","","","",""
