Player,Team,Min,Pts, Reb,Ast,Stl,FP,Cost,Value
LeBron James (F- CLE),BKN,36,25.8,6.6,6.8,1.7,45.62,$9800,4.66
DeMarcus Cousins (FC- SAC),LAL,34.5,24.9,11.5,2.8,1.1,45,$10700,4.21
Kevin Durant (F- OKC),CHA,37.8,26.3,8.4,4.2,1.1,44.48,$9900,4.49
Russell Westbrook (PG- OKC),CHA,34.9,22.6,6,8.1,1.9,42.65,$10500,4.06
James Harden (GF- HOU),DET,37.7,25.9,5.6,6.6,1.5,42.62,$9300,4.58
Stephen Curry (G- GS),CHI,34.5,26.9,4.5,6.2,1.9,42.5,$11000,3.86
Pau Gasol (FC- CHI),GS,33.8,19.4,11.9,3.0,0.7,41.88,$9000,4.65
Paul Millsap (FC- ATL),POR,35,20.7,9.3,3.6,1.8,41.06,$8700,4.72
Kyle Lowry (PG- TOR),BOS,37.5,22.9,5.3,6.2,2.0,40.86,$9200,4.44
Andre Drummond (FC- DET),HOU,35.4,16.5,13.7,1.5,1.7,40.29,$8800,4.58
Jimmy Butler (GF- CHI),GS,38.6,23.8,4.9,3.9,1.7,37.83,$9100,4.16
Damian Lillard (PG- POR),ATL,37.4,23.2,3.9,6.6,1.0,37.08,$8800,4.21
John Wall (PG- WSH),MIA,35,17.9,4.4,8.5,1.9,37.03,$10200,3.63
Draymond Green (F- GS),CHI,35,16.1,8.6,5.5,1.2,36.97,$9400,3.93
Kemba Walker (PG- CHA),OKC,37,20.6,4.3,5.8,1.7,36.56,$8600,4.25
Kevin Love (FC- CLE),BKN,34.2,18.0,10.1,2.8,0.9,36.32,$6900,5.26
Carmelo Anthony (F- NY),UTAH,36.9,21.6,6.8,4.0,0.9,36.16,$8700,4.16
DeMar DeRozan (GF- TOR),BOS,37.3,22.7,4.6,4.4,1.1,35.32,$8200,4.31
Chris Bosh (FC- MIA),WSH,35.3,19.7,8.5,2.3,0.8,35.05,$7800,4.49
Isaiah Thomas (PG- BOS),TOR,34.5,21.4,3.2,6.4,1.3,35.04,$8400,4.17
Nikola Vucevic (FC- ORL),PHI,32.5,18.0,8.8,2.7,0.8,34.81,$7500,4.64
Brook Lopez (C- BKN),CLE,34.5,19.0,9,1.5,0.7,34.65,$8500,4.08
Rajon Rondo (PG- SAC),LAL,34.3,12.7,5.2,9.6,1.6,33.64,$8100,4.15
Al Horford (FC- ATL),POR,33.3,16.5,7.8,2.8,0.8,33.36,$7600,4.39
Dwight Howard (FC- HOU),DET,33.8,14.7,11.8,1.4,0.9,33.36,$8500,3.92
C.J. McCollum (G- POR),ATL,36.5,21.0,3.5,4.8,1.4,33.3,$7700,4.32
Reggie Jackson (G- DET),HOU,32.5,19.6,3.8,6.4,1.0,33.16,$7200,4.61
