"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14462-9642","PG","Russell","Westbrook","48.3","42","10500","OKC@DEN","OKC","DEN","","","",""
"14462-15755","PF","Anthony","Davis","43.4","35","10300","MIN@NO","NO","MIN","","","",""
"14462-9646","SF","Kevin","Durant","43.7","35","9900","OKC@DEN","OKC","DEN","","","",""
"14462-12341","SF","Paul","George","39.2","41","8700","IND@PHO","IND","PHO","","","",""
"14462-12363","C","Hassan","Whiteside","33.3","39","7800","MIL@MIA","MIA","MIL","","","",""
"14462-12337","C","Greg","Monroe","33.2","41","7800","MIL@MIA","MIL","MIA","","","",""
"14462-9718","PF","Chris","Bosh","33.7","41","7800","MIL@MIA","MIA","MIL","","","",""
"14462-40199","SG","Giannis","Antetokounmpo","30.4","41","7800","MIL@MIA","MIL","MIA","","","",""
"14462-9692","PG","Tyreke","Evans","32.9","21","7300","MIN@NO","NO","MIN","GTD","Knee","",""
"14462-58462","C","Karl-Anthony","Towns","31.4","42","7200","MIN@NO","MIN","NO","","","",""
"14462-16261","SF","Khris","Middleton","28.1","43","7100","MIL@MIA","MIL","MIA","","","",""
"14462-9585","SG","Dwyane","Wade","30.6","39","7100","MIL@MIA","MIA","MIL","","","",""
"14462-9637","SF","Danilo","Gallinari","30.7","35","7000","OKC@DEN","DEN","OKC","","","",""
"14462-14496","PG","Ricky","Rubio","30.2","36","6900","MIN@NO","MIN","NO","","","",""
"14462-16201","PG","Michael","Carter-Williams","28.2","38","6800","MIL@MIA","MIL","MIA","","","",""
"14462-17333","SG","Will","Barton","28.2","41","6700","OKC@DEN","DEN","OKC","","","",""
"14462-49116","SF","Andrew","Wiggins","28.5","41","6700","MIN@NO","MIN","NO","","","",""
"14462-14506","PG","Brandon","Knight","31.6","41","6500","IND@PHO","PHO","IND","","","",""
"14462-9526","SG","Monta","Ellis","26.2","41","6300","IND@PHO","IND","PHO","","","",""
"14462-9663","PG","Jrue","Holiday","24.7","34","6300","MIN@NO","NO","MIN","","","",""
"14462-9957","PF","Serge","Ibaka","26.5","42","6200","OKC@DEN","OKC","DEN","","","",""
"14462-14521","PF","Kenneth","Faried","26","35","6100","OKC@DEN","DEN","OKC","","","",""
"14462-9772","PF","Ryan","Anderson","26.4","38","5800","MIN@NO","NO","MIN","","","",""
"14462-9703","PG","George","Hill","24","36","5800","IND@PHO","IND","PHO","GTD","Personal","",""
"14462-9673","PG","Goran","Dragic","23.8","37","5500","MIL@MIA","MIA","MIL","O","Calf","",""
"14462-42550","PF","Jabari","Parker","20","37","5200","MIL@MIA","MIL","MIA","","","",""
"14462-9556","SG","Eric","Gordon","22.5","40","5200","MIN@NO","NO","MIN","","","",""
"14462-9652","PG","Jameer","Nelson","19.3","36","5100","OKC@DEN","DEN","OKC","GTD","Wrist","",""
"14462-9953","C","Ian","Mahinmi","22.1","38","5100","IND@PHO","IND","PHO","GTD","Heel","",""
"14462-63124","PG","Emmanuel","Mudiay","22.6","27","4900","OKC@DEN","DEN","OKC","","","",""
"14462-14511","PF","Markieff","Morris","19.2","27","4900","IND@PHO","PHO","IND","","","",""
"14462-55062","C","Nikola","Jokic","19.1","39","4900","OKC@DEN","DEN","OKC","","","",""
"14462-15771","C","Gorgui","Dieng","20.1","42","4700","MIN@NO","MIN","NO","","","",""
"14462-23120","SF","T.J.","Warren","18.4","41","4500","IND@PHO","PHO","IND","","","",""
"14462-23407","SF","P.J.","Tucker","17.4","42","4500","IND@PHO","PHO","IND","","","",""
"14462-18600","PG","Tyler","Johnson","16.9","31","4500","MIL@MIA","MIA","MIL","","","",""
"14462-24544","SG","Gary","Harris","18.1","35","4400","OKC@DEN","DEN","OKC","","","",""
"14462-9725","SF","C.J.","Miles","20.7","36","4400","IND@PHO","IND","PHO","","","",""
"14462-9479","SF","Luol","Deng","19.2","35","4300","MIL@MIA","MIA","MIL","","","",""
"14462-14516","C","Enes","Kanter","21.2","42","4300","OKC@DEN","OKC","DEN","","","",""
"14462-9580","PF","Darrell","Arthur","16.2","38","4300","OKC@DEN","DEN","OKC","","","",""
"14462-23169","C","Steven","Adams","17.8","42","4300","OKC@DEN","OKC","DEN","","","",""
